Distritos;Percentil;Total
0104201 Okondo distrito 01 *;Percentil 90 de consumo eléctrico en kwh;4.538
0104301 Oyón-Oion distrito 01 *;Percentil 10 de consumo eléctrico en kwh;547
0104301 Oyón-Oion distrito 01 *;Percentil 25 de consumo eléctrico en kwh;1.010
0104301 Oyón-Oion distrito 01 *;Percentil 50 de consumo eléctrico en kwh;1.865
0104301 Oyón-Oion distrito 01 *;Percentil 75 de consumo eléctrico en kwh;2.785
0104301 Oyón-Oion distrito 01 *;Percentil 90 de consumo eléctrico en kwh;3.960
0104701 Erriberabeitia distrito 01;Percentil 10 de consumo eléctrico en kwh;725
0104701 Erriberabeitia distrito 01;Percentil 25 de consumo eléctrico en kwh;1.214
0104701 Erriberabeitia distrito 01;Percentil 50 de consumo eléctrico en kwh;2.209
0104701 Erriberabeitia distrito 01;Percentil 75 de consumo eléctrico en kwh;3.401
0104701 Erriberabeitia distrito 01;Percentil 90 de consumo eléctrico en kwh;4.360
0105101 Agurain/Salvatierra distrito 01 *;Percentil 10 de consumo eléctrico en kwh;619
0105101 Agurain/Salvatierra distrito 01 *;Percentil 25 de consumo eléctrico en kwh;1.066
0105101 Agurain/Salvatierra distrito 01 *;Percentil 50 de consumo eléctrico en kwh;1.712
0105101 Agurain/Salvatierra distrito 01 *;Percentil 75 de consumo eléctrico en kwh;2.444
0105101 Agurain/Salvatierra distrito 01 *;Percentil 90 de consumo eléctrico en kwh;3.339
0105401 Urkabustaiz distrito 01;Percentil 10 de consumo eléctrico en kwh;546
0105401 Urkabustaiz distrito 01;Percentil 25 de consumo eléctrico en kwh;949
0105401 Urkabustaiz distrito 01;Percentil 50 de consumo eléctrico en kwh;1.732
0105401 Urkabustaiz distrito 01;Percentil 75 de consumo eléctrico en kwh;2.886
0105401 Urkabustaiz distrito 01;Percentil 90 de consumo eléctrico en kwh;4.076
0105501 Valdegovía/Gaubea distrito 01;Percentil 10 de consumo eléctrico en kwh;450
0105501 Valdegovía/Gaubea distrito 01;Percentil 25 de consumo eléctrico en kwh;758
0105501 Valdegovía/Gaubea distrito 01;Percentil 50 de consumo eléctrico en kwh;1.432
0105501 Valdegovía/Gaubea distrito 01;Percentil 75 de consumo eléctrico en kwh;2.436
