Distritos;Percentil;Total
0816301 PinedadeMar distrito 01;Percentil 25 de consumo eléctrico en kwh;1.070
0816301 PinedadeMar distrito 01;Percentil 50 de consumo eléctrico en kwh;1.958
0816301 PinedadeMar distrito 01;Percentil 75 de consumo eléctrico en kwh;3.137
0816301 PinedadeMar distrito 01;Percentil 90 de consumo eléctrico en kwh;4.709
0816401 PladelPenedès(El) distrito 01;Percentil 10 de consumo eléctrico en kwh;1.102
0816401 PladelPenedès(El) distrito 01;Percentil 25 de consumo eléctrico en kwh;1.996
0816401 PladelPenedès(El) distrito 01;Percentil 50 de consumo eléctrico en kwh;3.451
0816401 PladelPenedès(El) distrito 01;Percentil 75 de consumo eléctrico en kwh;5.090
0816401 PladelPenedès(El) distrito 01;Percentil 90 de consumo eléctrico en kwh;7.380
0816501 PobladeClaramunt(La) distrito 01;Percentil 10 de consumo eléctrico en kwh;888
0816501 PobladeClaramunt(La) distrito 01;Percentil 25 de consumo eléctrico en kwh;1.681
0816501 PobladeClaramunt(La) distrito 01;Percentil 50 de consumo eléctrico en kwh;2.791
0816501 PobladeClaramunt(La) distrito 01;Percentil 75 de consumo eléctrico en kwh;4.255
0816501 PobladeClaramunt(La) distrito 01;Percentil 90 de consumo eléctrico en kwh;6.030
0816601 PobladeLillet(La) distrito 01;Percentil 10 de consumo eléctrico en kwh;383
0816601 PobladeLillet(La) distrito 01;Percentil 25 de consumo eléctrico en kwh;731
0816601 PobladeLillet(La) distrito 01;Percentil 50 de consumo eléctrico en kwh;1.538
0816601 PobladeLillet(La) distrito 01;Percentil 75 de consumo eléctrico en kwh;2.687
0816601 PobladeLillet(La) distrito 01;Percentil 90 de consumo eléctrico en kwh;4.275
0816701 Polinyà distrito 01;Percentil 10 de consumo eléctrico en kwh;1.146
0816701 Polinyà distrito 01;Percentil 25 de consumo eléctrico en kwh;1.724
0816701 Polinyà distrito 01;Percentil 50 de consumo eléctrico en kwh;2.539
0816701 Polinyà distrito 01;Percentil 75 de consumo eléctrico en kwh;3.534
0816701 Polinyà distrito 01;Percentil 90 de consumo eléctrico en kwh;4.906
0816901 PratdeLlobregat(El) distrito 01;Percentil 10 de consumo eléctrico en kwh;980
0816901 PratdeLlobregat(El) distrito 01;Percentil 25 de consumo eléctrico en kwh;1.497
0816901 PratdeLlobregat(El) distrito 01;Percentil 50 de consumo eléctrico en kwh;2.284
0816901 PratdeLlobregat(El) distrito 01;Percentil 75 de consumo eléctrico en kwh;3.298
0816901 PratdeLlobregat(El) distrito 01;Percentil 90 de consumo eléctrico en kwh;4.524
0816902 PratdeLlobregat(El) distrito 02;Percentil 10 de consumo eléctrico en kwh;939
0816902 PratdeLlobregat(El) distrito 02;Percentil 25 de consumo eléctrico en kwh;1.453
0816902 PratdeLlobregat(El) distrito 02;Percentil 50 de consumo eléctrico en kwh;2.164
0816902 PratdeLlobregat(El) distrito 02;Percentil 75 de consumo eléctrico en kwh;3.057
0816902 PratdeLlobregat(El) distrito 02;Percentil 90 de consumo eléctrico en kwh;4.162
0816903 PratdeLlobregat(El) distrito 03;Percentil 10 de consumo eléctrico en kwh;1.044
0816903 PratdeLlobregat(El) distrito 03;Percentil 25 de consumo eléctrico en kwh;1.554
0816903 PratdeLlobregat(El) distrito 03;Percentil 50 de consumo eléctrico en kwh;2.316
0816903 PratdeLlobregat(El) distrito 03;Percentil 75 de consumo eléctrico en kwh;3.168
0816903 PratdeLlobregat(El) distrito 03;Percentil 90 de consumo eléctrico en kwh;4.264
0816904 PratdeLlobregat(El) distrito 04;Percentil 10 de consumo eléctrico en kwh;1.032
0816904 PratdeLlobregat(El) distrito 04;Percentil 25 de consumo eléctrico en kwh;1.557
0816904 PratdeLlobregat(El) distrito 04;Percentil 50 de consumo eléctrico en kwh;2.308
0816904 PratdeLlobregat(El) distrito 04;Percentil 75 de consumo eléctrico en kwh;3.245
0816904 PratdeLlobregat(El) distrito 04;Percentil 90 de consumo eléctrico en kwh;4.455
0816905 PratdeLlobregat(El) distrito 05;Percentil 10 de consumo eléctrico en kwh;944
0816905 PratdeLlobregat(El) distrito 05;Percentil 25 de consumo eléctrico en kwh;1.492
0816905 PratdeLlobregat(El) distrito 05;Percentil 50 de consumo eléctrico en kwh;2.241
0816905 PratdeLlobregat(El) distrito 05;Percentil 75 de consumo eléctrico en kwh;3.182
0816905 PratdeLlobregat(El) distrito 05;Percentil 90 de consumo eléctrico en kwh;4.313
0817101 PratsdeLluçanès distrito 01;Percentil 10 de consumo eléctrico en kwh;858
0817101 PratsdeLluçanès distrito 01;Percentil 25 de consumo eléctrico en kwh;1.666
0817101 PratsdeLluçanès distrito 01;Percentil 50 de consumo eléctrico en kwh;3.033
0817101 PratsdeLluçanès distrito 01;Percentil 75 de consumo eléctrico en kwh;4.501
0817101 PratsdeLluçanès distrito 01;Percentil 90 de consumo eléctrico en kwh;7.131
0817201 PremiàdeMar distrito 01;Percentil 10 de consumo eléctrico en kwh;951
0817201 PremiàdeMar distrito 01;Percentil 25 de consumo eléctrico en kwh;1.499
0817201 PremiàdeMar distrito 01;Percentil 50 de consumo eléctrico en kwh;2.269
0817201 PremiàdeMar distrito 01;Percentil 75 de consumo eléctrico en kwh;3.360
0817201 PremiàdeMar distrito 01;Percentil 90 de consumo eléctrico en kwh;4.738
0817202 PremiàdeMar distrito 02;Percentil 10 de consumo eléctrico en kwh;914
0817202 PremiàdeMar distrito 02;Percentil 25 de consumo eléctrico en kwh;1.377
0817202 PremiàdeMar distrito 02;Percentil 50 de consumo eléctrico en kwh;2.030
0817202 PremiàdeMar distrito 02;Percentil 75 de consumo eléctrico en kwh;2.972
0817202 PremiàdeMar distrito 02;Percentil 90 de consumo eléctrico en kwh;4.122
0817203 PremiàdeMar distrito 03;Percentil 10 de consumo eléctrico en kwh;948
0817203 PremiàdeMar distrito 03;Percentil 25 de consumo eléctrico en kwh;1.465
0817203 PremiàdeMar distrito 03;Percentil 50 de consumo eléctrico en kwh;2.206
0817203 PremiàdeMar distrito 03;Percentil 75 de consumo eléctrico en kwh;3.212
0817203 PremiàdeMar distrito 03;Percentil 90 de consumo eléctrico en kwh;4.518
0817501 Puig-reig distrito 01;Percentil 10 de consumo eléctrico en kwh;739
0817501 Puig-reig distrito 01;Percentil 25 de consumo eléctrico en kwh;1.302
0817501 Puig-reig distrito 01;Percentil 50 de consumo eléctrico en kwh;2.039
0817501 Puig-reig distrito 01;Percentil 75 de consumo eléctrico en kwh;3.012
0817501 Puig-reig distrito 01;Percentil 90 de consumo eléctrico en kwh;4.357
0817502 Puig-reig distrito 02;Percentil 10 de consumo eléctrico en kwh;527
0817502 Puig-reig distrito 02;Percentil 25 de consumo eléctrico en kwh;1.103
0817502 Puig-reig distrito 02;Percentil 50 de consumo eléctrico en kwh;1.784
0817502 Puig-reig distrito 02;Percentil 75 de consumo eléctrico en kwh;3.384
0817502 Puig-reig distrito 02;Percentil 90 de consumo eléctrico en kwh;4.872
0818001 Ripollet distrito 01;Percentil 10 de consumo eléctrico en kwh;1.055
0818001 Ripollet distrito 01;Percentil 25 de consumo eléctrico en kwh;1.610
0818001 Ripollet distrito 01;Percentil 50 de consumo eléctrico en kwh;2.380
0818001 Ripollet distrito 01;Percentil 75 de consumo eléctrico en kwh;3.370
0818001 Ripollet distrito 01;Percentil 90 de consumo eléctrico en kwh;4.622
0818002 Ripollet distrito 02;Percentil 10 de consumo eléctrico en kwh;956
0818002 Ripollet distrito 02;Percentil 25 de consumo eléctrico en kwh;1.452
0818002 Ripollet distrito 02;Percentil 50 de consumo eléctrico en kwh;2.190
0818002 Ripollet distrito 02;Percentil 75 de consumo eléctrico en kwh;3.141
0818002 Ripollet distrito 02;Percentil 90 de consumo eléctrico en kwh;4.299
0818101 RocadelVallès(La) distrito 01;Percentil 10 de consumo eléctrico en kwh;1.100
0818101 RocadelVallès(La) distrito 01;Percentil 25 de consumo eléctrico en kwh;1.758
0818101 RocadelVallès(La) distrito 01;Percentil 50 de consumo eléctrico en kwh;2.845
0818101 RocadelVallès(La) distrito 01;Percentil 75 de consumo eléctrico en kwh;4.374
0818101 RocadelVallès(La) distrito 01;Percentil 90 de consumo eléctrico en kwh;6.756
0818201 PontdeVilomaraiRocafort(El) distrito 01;Percentil 10 de consumo eléctrico en kwh;919
0818201 PontdeVilomaraiRocafort(El) distrito 01;Percentil 25 de consumo eléctrico en kwh;1.498
0818201 PontdeVilomaraiRocafort(El) distrito 01;Percentil 50 de consumo eléctrico en kwh;2.410
0818201 PontdeVilomaraiRocafort(El) distrito 01;Percentil 75 de consumo eléctrico en kwh;3.722
0818201 PontdeVilomaraiRocafort(El) distrito 01;Percentil 90 de consumo eléctrico en kwh;5.354
0818301 RodadeTer distrito 01;Percentil 10 de consumo eléctrico en kwh;961
0818301 RodadeTer distrito 01;Percentil 25 de consumo eléctrico en kwh;1.629
0818301 RodadeTer distrito 01;Percentil 50 de consumo eléctrico en kwh;2.559
0818301 RodadeTer distrito 01;Percentil 75 de consumo eléctrico en kwh;3.659
0818301 RodadeTer distrito 01;Percentil 90 de consumo eléctrico en kwh;5.097
0818302 RodadeTer distrito 02;Percentil 10 de consumo eléctrico en kwh;868
0818302 RodadeTer distrito 02;Percentil 25 de consumo eléctrico en kwh;1.509
0818302 RodadeTer distrito 02;Percentil 50 de consumo eléctrico en kwh;2.416
0818302 RodadeTer distrito 02;Percentil 75 de consumo eléctrico en kwh;3.777
0818302 RodadeTer distrito 02;Percentil 90 de consumo eléctrico en kwh;5.470
0818401 Rubí distrito 01;Percentil 10 de consumo eléctrico en kwh;1.017
0818401 Rubí distrito 01;Percentil 25 de consumo eléctrico en kwh;1.706
0818401 Rubí distrito 01;Percentil 50 de consumo eléctrico en kwh;2.643
0818401 Rubí distrito 01;Percentil 75 de consumo eléctrico en kwh;4.003
0818401 Rubí distrito 01;Percentil 90 de consumo eléctrico en kwh;5.899
0818402 Rubí distrito 02;Percentil 10 de consumo eléctrico en kwh;1.045
0818402 Rubí distrito 02;Percentil 25 de consumo eléctrico en kwh;1.888
0818402 Rubí distrito 02;Percentil 50 de consumo eléctrico en kwh;3.107
0818402 Rubí distrito 02;Percentil 75 de consumo eléctrico en kwh;4.750
0818402 Rubí distrito 02;Percentil 90 de consumo eléctrico en kwh;6.810
0818403 Rubí distrito 03;Percentil 10 de consumo eléctrico en kwh;1.044
0818403 Rubí distrito 03;Percentil 25 de consumo eléctrico en kwh;1.580
0818403 Rubí distrito 03;Percentil 50 de consumo eléctrico en kwh;2.311
0818403 Rubí distrito 03;Percentil 75 de consumo eléctrico en kwh;3.331
0818403 Rubí distrito 03;Percentil 90 de consumo eléctrico en kwh;4.805
0818404 Rubí distrito 04;Percentil 10 de consumo eléctrico en kwh;1.023
0818404 Rubí distrito 04;Percentil 25 de consumo eléctrico en kwh;1.575
0818404 Rubí distrito 04;Percentil 50 de consumo eléctrico en kwh;2.384
0818404 Rubí distrito 04;Percentil 75 de consumo eléctrico en kwh;3.535
0818404 Rubí distrito 04;Percentil 90 de consumo eléctrico en kwh;5.064
0818701 Sabadell distrito 01;Percentil 10 de consumo eléctrico en kwh;1.039
0818701 Sabadell distrito 01;Percentil 25 de consumo eléctrico en kwh;1.624
0818701 Sabadell distrito 01;Percentil 50 de consumo eléctrico en kwh;2.438
0818701 Sabadell distrito 01;Percentil 75 de consumo eléctrico en kwh;3.540
0818701 Sabadell distrito 01;Percentil 90 de consumo eléctrico en kwh;5.043
0818702 Sabadell distrito 02;Percentil 10 de consumo eléctrico en kwh;967
0818702 Sabadell distrito 02;Percentil 25 de consumo eléctrico en kwh;1.520
0818702 Sabadell distrito 02;Percentil 50 de consumo eléctrico en kwh;2.329
0818702 Sabadell distrito 02;Percentil 75 de consumo eléctrico en kwh;3.423
0818702 Sabadell distrito 02;Percentil 90 de consumo eléctrico en kwh;4.905
0818703 Sabadell distrito 03;Percentil 10 de consumo eléctrico en kwh;919
0818703 Sabadell distrito 03;Percentil 25 de consumo eléctrico en kwh;1.431
0818703 Sabadell distrito 03;Percentil 50 de consumo eléctrico en kwh;2.136
0818703 Sabadell distrito 03;Percentil 75 de consumo eléctrico en kwh;3.027
0818703 Sabadell distrito 03;Percentil 90 de consumo eléctrico en kwh;4.246
0818704 Sabadell distrito 04;Percentil 10 de consumo eléctrico en kwh;1.036
0818704 Sabadell distrito 04;Percentil 25 de consumo eléctrico en kwh;1.556
0818704 Sabadell distrito 04;Percentil 50 de consumo eléctrico en kwh;2.255
0818704 Sabadell distrito 04;Percentil 75 de consumo eléctrico en kwh;3.107
0818704 Sabadell distrito 04;Percentil 90 de consumo eléctrico en kwh;4.159
0818705 Sabadell distrito 05;Percentil 10 de consumo eléctrico en kwh;955
0818705 Sabadell distrito 05;Percentil 25 de consumo eléctrico en kwh;1.518
0818705 Sabadell distrito 05;Percentil 50 de consumo eléctrico en kwh;2.302
0818705 Sabadell distrito 05;Percentil 75 de consumo eléctrico en kwh;3.376
0818705 Sabadell distrito 05;Percentil 90 de consumo eléctrico en kwh;4.823
0818706 Sabadell distrito 06;Percentil 10 de consumo eléctrico en kwh;858
0818706 Sabadell distrito 06;Percentil 25 de consumo eléctrico en kwh;1.332
0818706 Sabadell distrito 06;Percentil 50 de consumo eléctrico en kwh;2.046
0818706 Sabadell distrito 06;Percentil 75 de consumo eléctrico en kwh;3.019
0818706 Sabadell distrito 06;Percentil 90 de consumo eléctrico en kwh;4.323
0818707 Sabadell distrito 07;Percentil 10 de consumo eléctrico en kwh;852
0818707 Sabadell distrito 07;Percentil 25 de consumo eléctrico en kwh;1.442
0818707 Sabadell distrito 07;Percentil 50 de consumo eléctrico en kwh;2.213
0818707 Sabadell distrito 07;Percentil 75 de consumo eléctrico en kwh;3.206
0818707 Sabadell distrito 07;Percentil 90 de consumo eléctrico en kwh;4.544
0819101 Sallent distrito 01;Percentil 10 de consumo eléctrico en kwh;867
0819101 Sallent distrito 01;Percentil 25 de consumo eléctrico en kwh;1.453
0819101 Sallent distrito 01;Percentil 50 de consumo eléctrico en kwh;2.304
0819101 Sallent distrito 01;Percentil 75 de consumo eléctrico en kwh;3.417
0819101 Sallent distrito 01;Percentil 90 de consumo eléctrico en kwh;5.003
0819102 Sallent distrito 02;Percentil 10 de consumo eléctrico en kwh;616
0819102 Sallent distrito 02;Percentil 25 de consumo eléctrico en kwh;1.425
0819102 Sallent distrito 02;Percentil 50 de consumo eléctrico en kwh;2.897
0819102 Sallent distrito 02;Percentil 75 de consumo eléctrico en kwh;5.123
0819102 Sallent distrito 02;Percentil 90 de consumo eléctrico en kwh;9.252
0819201 Santpedor distrito 01;Percentil 10 de consumo eléctrico en kwh;1.127
0819201 Santpedor distrito 01;Percentil 25 de consumo eléctrico en kwh;1.775
0819201 Santpedor distrito 01;Percentil 50 de consumo eléctrico en kwh;2.750
0819201 Santpedor distrito 01;Percentil 75 de consumo eléctrico en kwh;3.927
0819201 Santpedor distrito 01;Percentil 90 de consumo eléctrico en kwh;5.740
0819301 SantIscledeVallalta distrito 01;Percentil 10 de consumo eléctrico en kwh;811
0819301 SantIscledeVallalta distrito 01;Percentil 25 de consumo eléctrico en kwh;1.539
0819301 SantIscledeVallalta distrito 01;Percentil 50 de consumo eléctrico en kwh;2.752
0819301 SantIscledeVallalta distrito 01;Percentil 75 de consumo eléctrico en kwh;4.744
0819301 SantIscledeVallalta distrito 01;Percentil 90 de consumo eléctrico en kwh;7.166
0819401 SantAdriàdeBesòs distrito 01;Percentil 10 de consumo eléctrico en kwh;941
0819401 SantAdriàdeBesòs distrito 01;Percentil 25 de consumo eléctrico en kwh;1.458
0819401 SantAdriàdeBesòs distrito 01;Percentil 50 de consumo eléctrico en kwh;2.205
0819401 SantAdriàdeBesòs distrito 01;Percentil 75 de consumo eléctrico en kwh;3.112
0819401 SantAdriàdeBesòs distrito 01;Percentil 90 de consumo eléctrico en kwh;4.383
0819402 SantAdriàdeBesòs distrito 02;Percentil 10 de consumo eléctrico en kwh;958
0819402 SantAdriàdeBesòs distrito 02;Percentil 25 de consumo eléctrico en kwh;1.502
0819402 SantAdriàdeBesòs distrito 02;Percentil 50 de consumo eléctrico en kwh;2.225
0819402 SantAdriàdeBesòs distrito 02;Percentil 75 de consumo eléctrico en kwh;3.195
0819402 SantAdriàdeBesòs distrito 02;Percentil 90 de consumo eléctrico en kwh;4.377
0819403 SantAdriàdeBesòs distrito 03;Percentil 10 de consumo eléctrico en kwh;900
0819403 SantAdriàdeBesòs distrito 03;Percentil 25 de consumo eléctrico en kwh;1.292
0819403 SantAdriàdeBesòs distrito 03;Percentil 50 de consumo eléctrico en kwh;1.871
0819403 SantAdriàdeBesòs distrito 03;Percentil 75 de consumo eléctrico en kwh;2.762
0819403 SantAdriàdeBesòs distrito 03;Percentil 90 de consumo eléctrico en kwh;3.986
0819404 SantAdriàdeBesòs distrito 04;Percentil 10 de consumo eléctrico en kwh;975
0819404 SantAdriàdeBesòs distrito 04;Percentil 25 de consumo eléctrico en kwh;1.548
0819404 SantAdriàdeBesòs distrito 04;Percentil 50 de consumo eléctrico en kwh;2.511
0819404 SantAdriàdeBesòs distrito 04;Percentil 75 de consumo eléctrico en kwh;3.459
0819404 SantAdriàdeBesòs distrito 04;Percentil 90 de consumo eléctrico en kwh;4.679
0819405 SantAdriàdeBesòs distrito 05;Percentil 10 de consumo eléctrico en kwh;733
0819405 SantAdriàdeBesòs distrito 05;Percentil 25 de consumo eléctrico en kwh;1.142
0819405 SantAdriàdeBesòs distrito 05;Percentil 50 de consumo eléctrico en kwh;1.678
0819405 SantAdriàdeBesòs distrito 05;Percentil 75 de consumo eléctrico en kwh;2.390
0819405 SantAdriàdeBesòs distrito 05;Percentil 90 de consumo eléctrico en kwh;3.340
0819406 SantAdriàdeBesòs distrito 06;Percentil 10 de consumo eléctrico en kwh;745
0819406 SantAdriàdeBesòs distrito 06;Percentil 25 de consumo eléctrico en kwh;1.236
0819406 SantAdriàdeBesòs distrito 06;Percentil 50 de consumo eléctrico en kwh;1.922
0819406 SantAdriàdeBesòs distrito 06;Percentil 75 de consumo eléctrico en kwh;2.967
0819406 SantAdriàdeBesòs distrito 06;Percentil 90 de consumo eléctrico en kwh;4.754
0819601 SantAndreudelaBarca distrito 01;Percentil 10 de consumo eléctrico en kwh;1.090
0819601 SantAndreudelaBarca distrito 01;Percentil 25 de consumo eléctrico en kwh;1.648
0819601 SantAndreudelaBarca distrito 01;Percentil 50 de consumo eléctrico en kwh;2.426
0819601 SantAndreudelaBarca distrito 01;Percentil 75 de consumo eléctrico en kwh;3.385
0819601 SantAndreudelaBarca distrito 01;Percentil 90 de consumo eléctrico en kwh;4.623
0819701 SantAndreudeLlavaneres distrito 01;Percentil 10 de consumo eléctrico en kwh;897
0819701 SantAndreudeLlavaneres distrito 01;Percentil 25 de consumo eléctrico en kwh;1.532
0819701 SantAndreudeLlavaneres distrito 01;Percentil 50 de consumo eléctrico en kwh;2.414
0819701 SantAndreudeLlavaneres distrito 01;Percentil 75 de consumo eléctrico en kwh;3.666
0819701 SantAndreudeLlavaneres distrito 01;Percentil 90 de consumo eléctrico en kwh;5.410
0819702 SantAndreudeLlavaneres distrito 02;Percentil 10 de consumo eléctrico en kwh;724
0819702 SantAndreudeLlavaneres distrito 02;Percentil 25 de consumo eléctrico en kwh;1.410
0819702 SantAndreudeLlavaneres distrito 02;Percentil 50 de consumo eléctrico en kwh;2.636
0819702 SantAndreudeLlavaneres distrito 02;Percentil 75 de consumo eléctrico en kwh;4.600
0819702 SantAndreudeLlavaneres distrito 02;Percentil 90 de consumo eléctrico en kwh;8.083
0819801 SantAntonideVilamajor distrito 01;Percentil 10 de consumo eléctrico en kwh;1.068
0819801 SantAntonideVilamajor distrito 01;Percentil 25 de consumo eléctrico en kwh;1.867
0819801 SantAntonideVilamajor distrito 01;Percentil 50 de consumo eléctrico en kwh;3.154
0819801 SantAntonideVilamajor distrito 01;Percentil 75 de consumo eléctrico en kwh;5.021
0819801 SantAntonideVilamajor distrito 01;Percentil 90 de consumo eléctrico en kwh;7.274
0820001 SantBoideLlobregat distrito 01;Percentil 10 de consumo eléctrico en kwh;859
0820001 SantBoideLlobregat distrito 01;Percentil 25 de consumo eléctrico en kwh;1.270
0820001 SantBoideLlobregat distrito 01;Percentil 50 de consumo eléctrico en kwh;1.903
0820001 SantBoideLlobregat distrito 01;Percentil 75 de consumo eléctrico en kwh;2.763
0820001 SantBoideLlobregat distrito 01;Percentil 90 de consumo eléctrico en kwh;3.824
0820002 SantBoideLlobregat distrito 02;Percentil 10 de consumo eléctrico en kwh;1.055
0820002 SantBoideLlobregat distrito 02;Percentil 25 de consumo eléctrico en kwh;1.606
0820002 SantBoideLlobregat distrito 02;Percentil 50 de consumo eléctrico en kwh;2.368
0820002 SantBoideLlobregat distrito 02;Percentil 75 de consumo eléctrico en kwh;3.347
0820002 SantBoideLlobregat distrito 02;Percentil 90 de consumo eléctrico en kwh;4.589
0820003 SantBoideLlobregat distrito 03;Percentil 10 de consumo eléctrico en kwh;990
0820003 SantBoideLlobregat distrito 03;Percentil 25 de consumo eléctrico en kwh;1.551
0820003 SantBoideLlobregat distrito 03;Percentil 50 de consumo eléctrico en kwh;2.357
0820003 SantBoideLlobregat distrito 03;Percentil 75 de consumo eléctrico en kwh;3.485
0820003 SantBoideLlobregat distrito 03;Percentil 90 de consumo eléctrico en kwh;4.990
0820004 SantBoideLlobregat distrito 04;Percentil 10 de consumo eléctrico en kwh;1.019
0820004 SantBoideLlobregat distrito 04;Percentil 25 de consumo eléctrico en kwh;1.541
0820004 SantBoideLlobregat distrito 04;Percentil 50 de consumo eléctrico en kwh;2.232
0820004 SantBoideLlobregat distrito 04;Percentil 75 de consumo eléctrico en kwh;3.168
0820004 SantBoideLlobregat distrito 04;Percentil 90 de consumo eléctrico en kwh;4.310
0820005 SantBoideLlobregat distrito 05;Percentil 10 de consumo eléctrico en kwh;988
0820005 SantBoideLlobregat distrito 05;Percentil 25 de consumo eléctrico en kwh;1.547
0820005 SantBoideLlobregat distrito 05;Percentil 50 de consumo eléctrico en kwh;2.398
0820005 SantBoideLlobregat distrito 05;Percentil 75 de consumo eléctrico en kwh;3.583
0820005 SantBoideLlobregat distrito 05;Percentil 90 de consumo eléctrico en kwh;5.246
0820006 SantBoideLlobregat distrito 06;Percentil 10 de consumo eléctrico en kwh;1.013
0820006 SantBoideLlobregat distrito 06;Percentil 25 de consumo eléctrico en kwh;1.492
0820006 SantBoideLlobregat distrito 06;Percentil 50 de consumo eléctrico en kwh;2.260
0820006 SantBoideLlobregat distrito 06;Percentil 75 de consumo eléctrico en kwh;3.122
0820006 SantBoideLlobregat distrito 06;Percentil 90 de consumo eléctrico en kwh;4.095
0820201 SantCeloni distrito 01;Percentil 10 de consumo eléctrico en kwh;951
0820201 SantCeloni distrito 01;Percentil 25 de consumo eléctrico en kwh;1.542
0820201 SantCeloni distrito 01;Percentil 50 de consumo eléctrico en kwh;2.386
0820201 SantCeloni distrito 01;Percentil 75 de consumo eléctrico en kwh;3.551
0820201 SantCeloni distrito 01;Percentil 90 de consumo eléctrico en kwh;5.201
0820202 SantCeloni distrito 02;Percentil 10 de consumo eléctrico en kwh;958
0820202 SantCeloni distrito 02;Percentil 25 de consumo eléctrico en kwh;1.684
0820202 SantCeloni distrito 02;Percentil 50 de consumo eléctrico en kwh;2.708
0820202 SantCeloni distrito 02;Percentil 75 de consumo eléctrico en kwh;4.196
0820202 SantCeloni distrito 02;Percentil 90 de consumo eléctrico en kwh;6.062
0820301 SantCebriàdeVallalta distrito 01;Percentil 10 de consumo eléctrico en kwh;712
0820301 SantCebriàdeVallalta distrito 01;Percentil 25 de consumo eléctrico en kwh;1.342
0820301 SantCebriàdeVallalta distrito 01;Percentil 50 de consumo eléctrico en kwh;2.462
0820301 SantCebriàdeVallalta distrito 01;Percentil 75 de consumo eléctrico en kwh;4.090
0820301 SantCebriàdeVallalta distrito 01;Percentil 90 de consumo eléctrico en kwh;6.395
0820401 SantClimentdeLlobregat distrito 01;Percentil 10 de consumo eléctrico en kwh;1.095
0820401 SantClimentdeLlobregat distrito 01;Percentil 25 de consumo eléctrico en kwh;2.042
0820401 SantClimentdeLlobregat distrito 01;Percentil 50 de consumo eléctrico en kwh;3.243
0820401 SantClimentdeLlobregat distrito 01;Percentil 75 de consumo eléctrico en kwh;4.666
0820401 SantClimentdeLlobregat distrito 01;Percentil 90 de consumo eléctrico en kwh;6.262
0820501 SantCugatdelVallès distrito 01;Percentil 10 de consumo eléctrico en kwh;1.100
0820501 SantCugatdelVallès distrito 01;Percentil 25 de consumo eléctrico en kwh;1.676
0820501 SantCugatdelVallès distrito 01;Percentil 50 de consumo eléctrico en kwh;2.461
0820501 SantCugatdelVallès distrito 01;Percentil 75 de consumo eléctrico en kwh;3.581
0820501 SantCugatdelVallès distrito 01;Percentil 90 de consumo eléctrico en kwh;5.103
0820502 SantCugatdelVallès distrito 02;Percentil 10 de consumo eléctrico en kwh;1.184
0820502 SantCugatdelVallès distrito 02;Percentil 25 de consumo eléctrico en kwh;1.887
0820502 SantCugatdelVallès distrito 02;Percentil 50 de consumo eléctrico en kwh;2.895
0820502 SantCugatdelVallès distrito 02;Percentil 75 de consumo eléctrico en kwh;4.444
0820502 SantCugatdelVallès distrito 02;Percentil 90 de consumo eléctrico en kwh;7.161
0820503 SantCugatdelVallès distrito 03;Percentil 10 de consumo eléctrico en kwh;1.354
0820503 SantCugatdelVallès distrito 03;Percentil 25 de consumo eléctrico en kwh;2.559
0820503 SantCugatdelVallès distrito 03;Percentil 50 de consumo eléctrico en kwh;4.262
0820503 SantCugatdelVallès distrito 03;Percentil 75 de consumo eléctrico en kwh;6.817
0820503 SantCugatdelVallès distrito 03;Percentil 90 de consumo eléctrico en kwh;10.175
0820504 SantCugatdelVallès distrito 04;Percentil 10 de consumo eléctrico en kwh;1.065
0820504 SantCugatdelVallès distrito 04;Percentil 25 de consumo eléctrico en kwh;1.898
0820504 SantCugatdelVallès distrito 04;Percentil 50 de consumo eléctrico en kwh;3.148
0820504 SantCugatdelVallès distrito 04;Percentil 75 de consumo eléctrico en kwh;5.265
0820504 SantCugatdelVallès distrito 04;Percentil 90 de consumo eléctrico en kwh;7.676
0820505 SantCugatdelVallès distrito 05;Percentil 10 de consumo eléctrico en kwh;1.274
0820505 SantCugatdelVallès distrito 05;Percentil 25 de consumo eléctrico en kwh;2.023
0820505 SantCugatdelVallès distrito 05;Percentil 50 de consumo eléctrico en kwh;3.180
0820505 SantCugatdelVallès distrito 05;Percentil 75 de consumo eléctrico en kwh;5.107
0820505 SantCugatdelVallès distrito 05;Percentil 90 de consumo eléctrico en kwh;7.967
0820506 SantCugatdelVallès distrito 06;Percentil 10 de consumo eléctrico en kwh;877
0820506 SantCugatdelVallès distrito 06;Percentil 25 de consumo eléctrico en kwh;1.677
0820506 SantCugatdelVallès distrito 06;Percentil 50 de consumo eléctrico en kwh;2.816
0820506 SantCugatdelVallès distrito 06;Percentil 75 de consumo eléctrico en kwh;4.684
0820506 SantCugatdelVallès distrito 06;Percentil 90 de consumo eléctrico en kwh;7.008
0820601 SantCugatSesgarrigues distrito 01;Percentil 10 de consumo eléctrico en kwh;1.133
0820601 SantCugatSesgarrigues distrito 01;Percentil 25 de consumo eléctrico en kwh;2.077
0820601 SantCugatSesgarrigues distrito 01;Percentil 50 de consumo eléctrico en kwh;3.444
0820601 SantCugatSesgarrigues distrito 01;Percentil 75 de consumo eléctrico en kwh;5.420
0820601 SantCugatSesgarrigues distrito 01;Percentil 90 de consumo eléctrico en kwh;7.351
0820701 SantEstevedePalautordera distrito 01 *;Percentil 10 de consumo eléctrico en kwh;914
0820701 SantEstevedePalautordera distrito 01 *;Percentil 25 de consumo eléctrico en kwh;1.692
