Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Municipios;Consumo eléctrico;Total
Total Nacional;01 Andalucía;11 Cádiz;11019 Grazalema;Viviendas totales;1.857
Total Nacional;01 Andalucía;11 Cádiz;11020 Jerez de la Frontera;Viviendas totales;92.974
Total Nacional;01 Andalucía;11 Cádiz;11021 Jimena de la Frontera;Viviendas totales;4.238
Total Nacional;01 Andalucía;11 Cádiz;11022 Línea de la Concepción, La;Viviendas totales;30.028
Total Nacional;01 Andalucía;11 Cádiz;11023 Medina Sidonia;Viviendas totales;6.035
Total Nacional;01 Andalucía;11 Cádiz;11024 Olvera;Viviendas totales;5.410
Total Nacional;01 Andalucía;11 Cádiz;11025 Paterna de Rivera;Viviendas totales;2.657
Total Nacional;01 Andalucía;11 Cádiz;11026 Prado del Rey;Viviendas totales;3.163
Total Nacional;01 Andalucía;11 Cádiz;11027 Puerto de Santa María, El;Viviendas totales;49.077
Total Nacional;01 Andalucía;11 Cádiz;11028 Puerto Real;Viviendas totales;18.626
Total Nacional;01 Andalucía;11 Cádiz;11029 Puerto Serrano;Viviendas totales;3.253
Total Nacional;01 Andalucía;11 Cádiz;11030 Rota;Viviendas totales;26.868
Total Nacional;01 Andalucía;11 Cádiz;11031 San Fernando;Viviendas totales;39.564
Total Nacional;01 Andalucía;11 Cádiz;11032 Sanlúcar de Barrameda;Viviendas totales;34.536
Total Nacional;01 Andalucía;11 Cádiz;11033 San Roque;Viviendas totales;19.625
Total Nacional;01 Andalucía;11 Cádiz;11034 Setenil de las Bodegas;Viviendas totales;1.727
Total Nacional;01 Andalucía;11 Cádiz;11035 Tarifa;Viviendas totales;13.599
Total Nacional;01 Andalucía;11 Cádiz;11037 Trebujena;Viviendas totales;3.344
Total Nacional;01 Andalucía;11 Cádiz;11038 Ubrique;Viviendas totales;8.361
Total Nacional;01 Andalucía;11 Cádiz;11039 Vejer de la Frontera;Viviendas totales;8.392
Total Nacional;01 Andalucía;11 Cádiz;11041 Villamartín;Viviendas totales;6.185
Total Nacional;01 Andalucía;11 Cádiz;11042 Zahara;Viviendas totales;915
Total Nacional;01 Andalucía;11 Cádiz;11901 Benalup-Casas Viejas;Viviendas totales;3.519
Total Nacional;01 Andalucía;11 Cádiz;11902 San José del Valle;Viviendas totales;2.360
Total Nacional;01 Andalucía;11 Cádiz;11903 San Martín del Tesorillo;Viviendas totales;1.346
Total Nacional;01 Andalucía;11 Cádiz;11999 Resto de Cádiz;Viviendas totales;1.862
Total Nacional;01 Andalucía;14 Córdoba;;Viviendas totales;414.025
Total Nacional;01 Andalucía;14 Córdoba;14001 Adamuz;Viviendas totales;2.733
Total Nacional;01 Andalucía;14 Córdoba;14002 Aguilar de la Frontera;Viviendas totales;7.205
Total Nacional;01 Andalucía;14 Córdoba;14003 Alcaracejos;Viviendas totales;1.374
Total Nacional;01 Andalucía;14 Córdoba;14004 Almedinilla;Viviendas totales;1.534
Total Nacional;01 Andalucía;14 Córdoba;14005 Almodóvar del Río;Viviendas totales;4.189
Total Nacional;01 Andalucía;14 Córdoba;14006 Añora;Viviendas totales;1.250
