Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Municipios;Consumo eléctrico;Total
Total Nacional;03 Asturias, Principado de;33 Asturias;33051 Pravia;Viviendas totales;6.149
Total Nacional;03 Asturias, Principado de;33 Asturias;33053 Quirós;Viviendas totales;2.126
Total Nacional;03 Asturias, Principado de;33 Asturias;33054 Regueras, Las;Viviendas totales;1.307
Total Nacional;03 Asturias, Principado de;33 Asturias;33055 Ribadedeva;Viviendas totales;2.188
Total Nacional;03 Asturias, Principado de;33 Asturias;33056 Ribadesella;Viviendas totales;6.220
Total Nacional;03 Asturias, Principado de;33 Asturias;33057 Ribera de Arriba;Viviendas totales;1.167
Total Nacional;03 Asturias, Principado de;33 Asturias;33058 Riosa;Viviendas totales;1.475
Total Nacional;03 Asturias, Principado de;33 Asturias;33059 Salas;Viviendas totales;4.686
Total Nacional;03 Asturias, Principado de;33 Asturias;33060 San Martín del Rey Aurelio;Viviendas totales;11.797
Total Nacional;03 Asturias, Principado de;33 Asturias;33065 Sariego;Viviendas totales;860
Total Nacional;03 Asturias, Principado de;33 Asturias;33066 Siero;Viviendas totales;29.569
Total Nacional;03 Asturias, Principado de;33 Asturias;33068 Somiedo;Viviendas totales;2.347
Total Nacional;03 Asturias, Principado de;33 Asturias;33069 Soto del Barco;Viviendas totales;3.627
Total Nacional;03 Asturias, Principado de;33 Asturias;33070 Tapia de Casariego;Viviendas totales;3.407
Total Nacional;03 Asturias, Principado de;33 Asturias;33072 Teverga;Viviendas totales;1.894
Total Nacional;03 Asturias, Principado de;33 Asturias;33073 Tineo;Viviendas totales;6.960
Total Nacional;03 Asturias, Principado de;33 Asturias;33074 Vegadeo;Viviendas totales;2.970
Total Nacional;03 Asturias, Principado de;33 Asturias;33076 Villaviciosa;Viviendas totales;13.246
Total Nacional;03 Asturias, Principado de;33 Asturias;33077 Villayón;Viviendas totales;1.105
Total Nacional;03 Asturias, Principado de;33 Asturias;33999 Resto de Asturias;Viviendas totales;13.653
Total Nacional;04 Balears, Illes;;;Viviendas totales;652.123
Total Nacional;04 Balears, Illes;07 Balears, Illes;;Viviendas totales;652.123
Total Nacional;04 Balears, Illes;07 Balears, Illes;07001 Alaró;Viviendas totales;3.246
Total Nacional;04 Balears, Illes;07 Balears, Illes;07002 Alaior;Viviendas totales;6.968
Total Nacional;04 Balears, Illes;07 Balears, Illes;07003 Alcúdia;Viviendas totales;12.711
Total Nacional;04 Balears, Illes;07 Balears, Illes;07004 Algaida;Viviendas totales;4.306
Total Nacional;04 Balears, Illes;07 Balears, Illes;07005 Andratx;Viviendas totales;11.753
Total Nacional;04 Balears, Illes;07 Balears, Illes;07006 Artà;Viviendas totales;6.092
Total Nacional;04 Balears, Illes;07 Balears, Illes;07008 Binissalem;Viviendas totales;4.561
Total Nacional;04 Balears, Illes;07 Balears, Illes;07009 Búger;Viviendas totales;888
Total Nacional;04 Balears, Illes;07 Balears, Illes;07010 Bunyola;Viviendas totales;3.671
Total Nacional;04 Balears, Illes;07 Balears, Illes;07011 Calvià;Viviendas totales;36.492
Total Nacional;04 Balears, Illes;07 Balears, Illes;07012 Campanet;Viviendas totales;1.911
Total Nacional;04 Balears, Illes;07 Balears, Illes;07013 Campos;Viviendas totales;9.148
Total Nacional;04 Balears, Illes;07 Balears, Illes;07014 Capdepera;Viviendas totales;9.119
Total Nacional;04 Balears, Illes;07 Balears, Illes;07015 Ciutadella de Menorca;Viviendas totales;17.887
Total Nacional;04 Balears, Illes;07 Balears, Illes;07016 Consell;Viviendas totales;2.117
Total Nacional;04 Balears, Illes;07 Balears, Illes;07017 Costitx;Viviendas totales;1.306
Total Nacional;04 Balears, Illes;07 Balears, Illes;07020 Esporles;Viviendas totales;2.553
Total Nacional;04 Balears, Illes;07 Balears, Illes;07022 Felanitx;Viviendas totales;13.611
Total Nacional;04 Balears, Illes;07 Balears, Illes;07023 Ferreries;Viviendas totales;2.369
Total Nacional;04 Balears, Illes;07 Balears, Illes;07024 Formentera;Viviendas totales;6.969
Total Nacional;04 Balears, Illes;07 Balears, Illes;07026 Eivissa;Viviendas totales;23.938
Total Nacional;04 Balears, Illes;07 Balears, Illes;07027 Inca;Viviendas totales;15.863
Total Nacional;04 Balears, Illes;07 Balears, Illes;07028 Lloret de Vistalegre;Viviendas totales;1.093
Total Nacional;04 Balears, Illes;07 Balears, Illes;07029 Lloseta;Viviendas totales;3.035
Total Nacional;04 Balears, Illes;07 Balears, Illes;07030 Llubí;Viviendas totales;1.685
Total Nacional;04 Balears, Illes;07 Balears, Illes;07031 Llucmajor;Viviendas totales;23.312
Total Nacional;04 Balears, Illes;07 Balears, Illes;07032 Maó-Mahón;Viviendas totales;15.173
Total Nacional;04 Balears, Illes;07 Balears, Illes;07033 Manacor;Viviendas totales;28.571
Total Nacional;04 Balears, Illes;07 Balears, Illes;07034 Mancor de la Vall;Viviendas totales;919
Total Nacional;04 Balears, Illes;07 Balears, Illes;07035 Maria de la Salut;Viviendas totales;1.473
Total Nacional;04 Balears, Illes;07 Balears, Illes;07036 Marratxí;Viviendas totales;15.048
Total Nacional;04 Balears, Illes;07 Balears, Illes;07037 Mercadal, Es;Viviendas totales;7.208
Total Nacional;04 Balears, Illes;07 Balears, Illes;07038 Montuïri;Viviendas totales;2.197
Total Nacional;04 Balears, Illes;07 Balears, Illes;07039 Muro;Viviendas totales;5.092
Total Nacional;04 Balears, Illes;07 Balears, Illes;07040 Palma;Viviendas totales;186.482
Total Nacional;04 Balears, Illes;07 Balears, Illes;07041 Petra;Viviendas totales;2.118
Total Nacional;04 Balears, Illes;07 Balears, Illes;07042 Pollença;Viviendas totales;13.772
Total Nacional;04 Balears, Illes;07 Balears, Illes;07043 Porreres;Viviendas totales;3.319
Total Nacional;04 Balears, Illes;07 Balears, Illes;07044 Pobla, Sa;Viviendas totales;6.504
Total Nacional;04 Balears, Illes;07 Balears, Illes;07045 Puigpunyent;Viviendas totales;1.275
Total Nacional;04 Balears, Illes;07 Balears, Illes;07046 Sant Antoni de Portmany;Viviendas totales;12.116
Total Nacional;04 Balears, Illes;07 Balears, Illes;07047 Sencelles;Viviendas totales;3.352
Total Nacional;04 Balears, Illes;07 Balears, Illes;07048 Sant Josep de sa Talaia;Viviendas totales;15.683
Total Nacional;04 Balears, Illes;07 Balears, Illes;07049 Sant Joan;Viviendas totales;1.724
Total Nacional;04 Balears, Illes;07 Balears, Illes;07050 Sant Joan de Labritja;Viviendas totales;4.366
Total Nacional;04 Balears, Illes;07 Balears, Illes;07051 Sant Llorenç des Cardassar;Viviendas totales;6.529
Total Nacional;04 Balears, Illes;07 Balears, Illes;07052 Sant Lluís;Viviendas totales;5.312
Total Nacional;04 Balears, Illes;07 Balears, Illes;07053 Santa Eugènia;Viviendas totales;1.098
Total Nacional;04 Balears, Illes;07 Balears, Illes;07054 Santa Eulària des Riu;Viviendas totales;22.810
Total Nacional;04 Balears, Illes;07 Balears, Illes;07055 Santa Margalida;Viviendas totales;8.414
Total Nacional;04 Balears, Illes;07 Balears, Illes;07056 Santa María del Camí;Viviendas totales;3.644
Total Nacional;04 Balears, Illes;07 Balears, Illes;07057 Santanyí;Viviendas totales;12.307
Total Nacional;04 Balears, Illes;07 Balears, Illes;07058 Selva;Viviendas totales;2.990
Total Nacional;04 Balears, Illes;07 Balears, Illes;07059 Salines, Ses;Viviendas totales;4.922
Total Nacional;04 Balears, Illes;07 Balears, Illes;07060 Sineu;Viviendas totales;2.727
Total Nacional;04 Balears, Illes;07 Balears, Illes;07061 Sóller;Viviendas totales;8.124
Total Nacional;04 Balears, Illes;07 Balears, Illes;07062 Son Servera;Viviendas totales;7.830
Total Nacional;04 Balears, Illes;07 Balears, Illes;07063 Valldemossa;Viviendas totales;1.483
Total Nacional;04 Balears, Illes;07 Balears, Illes;07064 Castell, Es;Viviendas totales;4.426
Total Nacional;04 Balears, Illes;07 Balears, Illes;07065 Vilafranca de Bonany;Viviendas totales;1.707
Total Nacional;04 Balears, Illes;07 Balears, Illes;07902 Migjorn Gran, Es;Viviendas totales;1.180
Total Nacional;04 Balears, Illes;07 Balears, Illes;07999 Resto de Baleares,;Viviendas totales;3.624
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas totales;551.237
Total Nacional;05 Canarias;35 Palmas, Las;35001 Agaete;Viviendas totales;3.490
Total Nacional;05 Canarias;35 Palmas, Las;35002 Agüimes;Viviendas totales;14.365
Total Nacional;05 Canarias;35 Palmas, Las;35003 Antigua;Viviendas totales;8.222
Total Nacional;05 Canarias;35 Palmas, Las;35004 Arrecife;Viviendas totales;25.339
Total Nacional;05 Canarias;35 Palmas, Las;35005 Artenara;Viviendas totales;784
Total Nacional;05 Canarias;35 Palmas, Las;35006 Arucas;Viviendas totales;17.003
Total Nacional;05 Canarias;35 Palmas, Las;35007 Betancuria;Viviendas totales;517
Total Nacional;05 Canarias;35 Palmas, Las;35008 Firgas;Viviendas totales;3.559
Total Nacional;05 Canarias;35 Palmas, Las;35009 Gáldar;Viviendas totales;11.691
Total Nacional;05 Canarias;35 Palmas, Las;35010 Haría;Viviendas totales;3.880
Total Nacional;05 Canarias;35 Palmas, Las;35011 Ingenio;Viviendas totales;13.881
Total Nacional;05 Canarias;35 Palmas, Las;35012 Mogán;Viviendas totales;16.894
Total Nacional;05 Canarias;35 Palmas, Las;35013 Moya;Viviendas totales;4.716
Total Nacional;05 Canarias;35 Palmas, Las;35014 Oliva, La;Viviendas totales;16.893
Total Nacional;05 Canarias;35 Palmas, Las;35015 Pájara;Viviendas totales;10.558
Total Nacional;05 Canarias;35 Palmas, Las;35016 Palmas de Gran Canaria, Las;Viviendas totales;175.181
Total Nacional;05 Canarias;35 Palmas, Las;35017 Puerto del Rosario;Viviendas totales;18.683
Total Nacional;05 Canarias;35 Palmas, Las;35018 San Bartolomé;Viviendas totales;8.484
Total Nacional;05 Canarias;35 Palmas, Las;35019 San Bartolomé de Tirajana;Viviendas totales;32.766
Total Nacional;05 Canarias;35 Palmas, Las;35020 Aldea de San Nicolás, La;Viviendas totales;3.820
Total Nacional;05 Canarias;35 Palmas, Las;35021 Santa Brígida;Viviendas totales;7.746
Total Nacional;05 Canarias;35 Palmas, Las;35022 Santa Lucía de Tirajana;Viviendas totales;30.372
Total Nacional;05 Canarias;35 Palmas, Las;35023 Santa María de Guía de Gran Canaria;Viviendas totales;7.337
Total Nacional;05 Canarias;35 Palmas, Las;35024 Teguise;Viviendas totales;11.186
Total Nacional;05 Canarias;35 Palmas, Las;35025 Tejeda;Viviendas totales;1.480
Total Nacional;05 Canarias;35 Palmas, Las;35026 Telde;Viviendas totales;46.739
Total Nacional;05 Canarias;35 Palmas, Las;35027 Teror;Viviendas totales;6.660
Total Nacional;05 Canarias;35 Palmas, Las;35028 Tías;Viviendas totales;17.243
Total Nacional;05 Canarias;35 Palmas, Las;35029 Tinajo;Viviendas totales;2.600
Total Nacional;05 Canarias;35 Palmas, Las;35030 Tuineje;Viviendas totales;6.856
Total Nacional;05 Canarias;35 Palmas, Las;35031 Valsequillo de Gran Canaria;Viviendas totales;4.653
Total Nacional;05 Canarias;35 Palmas, Las;35032 Valleseco;Viviendas totales;2.301
Total Nacional;05 Canarias;35 Palmas, Las;35033 Vega de San Mateo;Viviendas totales;4.978
Total Nacional;05 Canarias;35 Palmas, Las;35034 Yaiza;Viviendas totales;10.360
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;;Viviendas totales;537.463
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38001 Adeje;Viviendas totales;26.798
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38002 Agulo;Viviendas totales;853
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38003 Alajeró;Viviendas totales;1.327
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38004 Arafo;Viviendas totales;2.818
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38005 Arico;Viviendas totales;6.133
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38006 Arona;Viviendas totales;53.746
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38007 Barlovento;Viviendas totales;1.230
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38008 Breña Alta;Viviendas totales;3.681
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38009 Breña Baja;Viviendas totales;3.265
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38010 Buenavista del Norte;Viviendas totales;2.449
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38011 Candelaria;Viviendas totales;14.205
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38012 Fasnia;Viviendas totales;1.847
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38013 Frontera;Viviendas totales;2.444
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38014 Fuencaliente de la Palma;Viviendas totales;1.209
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38015 Garachico;Viviendas totales;2.521
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38016 Garafía;Viviendas totales;1.635
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38017 Granadilla de Abona;Viviendas totales;24.284
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38018 Guancha, La;Viviendas totales;2.375
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38019 Guía de Isora;Viviendas totales;11.209
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38020 Güímar;Viviendas totales;11.602
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38021 Hermigua;Viviendas totales;1.306
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38022 Icod de los Vinos;Viviendas totales;11.541
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38023 San Cristóbal de La Laguna;Viviendas totales;74.096
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38024 Llanos de Aridane, Los;Viviendas totales;11.319
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38025 Matanza de Acentejo, La;Viviendas totales;4.270
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38026 Orotava, La;Viviendas totales;17.819
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38027 Paso, El;Viviendas totales;4.171
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38028 Puerto de la Cruz;Viviendas totales;20.779
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38029 Puntagorda;Viviendas totales;1.233
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38030 Puntallana;Viviendas totales;1.447
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38031 Realejos, Los;Viviendas totales;17.417
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38032 Rosario, El;Viviendas totales;8.160
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38033 San Andrés y Sauces;Viviendas totales;2.386
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38034 San Juan de la Rambla;Viviendas totales;2.209
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38035 San Miguel de Abona;Viviendas totales;10.415
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38036 San Sebastián de la Gomera;Viviendas totales;5.106
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38037 Santa Cruz de la Palma;Viviendas totales;7.535
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38038 Santa Cruz de Tenerife;Viviendas totales;97.227
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38039 Santa Úrsula;Viviendas totales;6.812
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38040 Santiago del Teide;Viviendas totales;9.243
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38041 Sauzal, El;Viviendas totales;3.910
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38042 Silos, Los;Viviendas totales;2.495
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38043 Tacoronte;Viviendas totales;11.121
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38044 Tanque, El;Viviendas totales;1.351
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38045 Tazacorte;Viviendas totales;2.744
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38046 Tegueste;Viviendas totales;4.764
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38047 Tijarafe;Viviendas totales;1.867
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38048 Valverde;Viviendas totales;3.155
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38049 Valle Gran Rey;Viviendas totales;3.803
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38050 Vallehermoso;Viviendas totales;2.648
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38051 Victoria de Acentejo, La;Viviendas totales;4.049
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38052 Vilaflor de Chasna;Viviendas totales;1.077
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38053 Villa de Mazo;Viviendas totales;3.037
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;38901 Pinar de El Hierro, El;Viviendas totales;1.320
Total Nacional;06 Cantabria;39 Cantabria;;Viviendas totales;383.642
Total Nacional;06 Cantabria;39 Cantabria;39001 Alfoz de Lloredo;Viviendas totales;2.146
Total Nacional;06 Cantabria;39 Cantabria;39002 Ampuero;Viviendas totales;3.231
Total Nacional;06 Cantabria;39 Cantabria;39004 Arenas de Iguña;Viviendas totales;1.166
Total Nacional;06 Cantabria;39 Cantabria;39005 Argoños;Viviendas totales;1.894
Total Nacional;06 Cantabria;39 Cantabria;39006 Arnuero;Viviendas totales;3.333
Total Nacional;06 Cantabria;39 Cantabria;39008 Astillero, El;Viviendas totales;8.646
Total Nacional;06 Cantabria;39 Cantabria;39009 Bárcena de Cicero;Viviendas totales;3.508
Total Nacional;06 Cantabria;39 Cantabria;39011 Bareyo;Viviendas totales;2.697
Total Nacional;06 Cantabria;39 Cantabria;39012 Cabezón de la Sal;Viviendas totales;4.563
Total Nacional;06 Cantabria;39 Cantabria;39016 Camargo;Viviendas totales;13.768
Total Nacional;06 Cantabria;39 Cantabria;39018 Cartes;Viviendas totales;2.892
Total Nacional;06 Cantabria;39 Cantabria;39019 Castañeda;Viviendas totales;1.927
Total Nacional;06 Cantabria;39 Cantabria;39020 Castro-Urdiales;Viviendas totales;24.994
Total Nacional;06 Cantabria;39 Cantabria;39022 Cillorigo de Liébana;Viviendas totales;1.202
Total Nacional;06 Cantabria;39 Cantabria;39023 Colindres;Viviendas totales;4.437
Total Nacional;06 Cantabria;39 Cantabria;39024 Comillas;Viviendas totales;3.509
Total Nacional;06 Cantabria;39 Cantabria;39025 Corrales de Buelna, Los;Viviendas totales;5.760
Total Nacional;06 Cantabria;39 Cantabria;39026 Corvera de Toranzo;Viviendas totales;1.714
Total Nacional;06 Cantabria;39 Cantabria;39027 Campoo de Enmedio;Viviendas totales;2.401
Total Nacional;06 Cantabria;39 Cantabria;39028 Entrambasaguas;Viviendas totales;3.167
Total Nacional;06 Cantabria;39 Cantabria;39030 Guriezo;Viviendas totales;1.715
Total Nacional;06 Cantabria;39 Cantabria;39031 Hazas de Cesto;Viviendas totales;1.437
Total Nacional;06 Cantabria;39 Cantabria;39032 Hermandad de Campoo de Suso;Viviendas totales;1.655
Total Nacional;06 Cantabria;39 Cantabria;39035 Laredo;Viviendas totales;15.993
Total Nacional;06 Cantabria;39 Cantabria;39036 Liendo;Viviendas totales;999
Total Nacional;06 Cantabria;39 Cantabria;39037 Liérganes;Viviendas totales;1.480
Total Nacional;06 Cantabria;39 Cantabria;39038 Limpias;Viviendas totales;1.850
Total Nacional;06 Cantabria;39 Cantabria;39040 Marina de Cudeyo;Viviendas totales;2.950
Total Nacional;06 Cantabria;39 Cantabria;39041 Mazcuerras;Viviendas totales;1.145
Total Nacional;06 Cantabria;39 Cantabria;39042 Medio Cudeyo;Viviendas totales;3.742
Total Nacional;06 Cantabria;39 Cantabria;39043 Meruelo;Viviendas totales;1.772
Total Nacional;06 Cantabria;39 Cantabria;39044 Miengo;Viviendas totales;4.110
Total Nacional;06 Cantabria;39 Cantabria;39046 Molledo;Viviendas totales;1.173
Total Nacional;06 Cantabria;39 Cantabria;39047 Noja;Viviendas totales;13.615
Total Nacional;06 Cantabria;39 Cantabria;39048 Penagos;Viviendas totales;1.150
Total Nacional;06 Cantabria;39 Cantabria;39052 Piélagos;Viviendas totales;12.919
Total Nacional;06 Cantabria;39 Cantabria;39054 Polanco;Viviendas totales;3.008
Total Nacional;06 Cantabria;39 Cantabria;39055 Potes;Viviendas totales;1.137
Total Nacional;06 Cantabria;39 Cantabria;39056 Puente Viesgo;Viviendas totales;1.568
Total Nacional;06 Cantabria;39 Cantabria;39057 Ramales de la Victoria;Viviendas totales;3.179
Total Nacional;06 Cantabria;39 Cantabria;39059 Reinosa;Viviendas totales;6.258
Total Nacional;06 Cantabria;39 Cantabria;39060 Reocín;Viviendas totales;4.104
Total Nacional;06 Cantabria;39 Cantabria;39061 Ribamontán al Mar;Viviendas totales;5.101
Total Nacional;06 Cantabria;39 Cantabria;39062 Ribamontán al Monte;Viviendas totales;1.601
Total Nacional;06 Cantabria;39 Cantabria;39063 Rionansa;Viviendas totales;1.006
Total Nacional;06 Cantabria;39 Cantabria;39064 Riotuerto;Viviendas totales;1.083
Total Nacional;06 Cantabria;39 Cantabria;39066 Ruente;Viviendas totales;639
Total Nacional;06 Cantabria;39 Cantabria;39069 San Felices de Buelna;Viviendas totales;1.318
Total Nacional;06 Cantabria;39 Cantabria;39073 Santa Cruz de Bezana;Viviendas totales;6.056
Total Nacional;06 Cantabria;39 Cantabria;39074 Santa María de Cayón;Viviendas totales;5.061
Total Nacional;06 Cantabria;39 Cantabria;39075 Santander;Viviendas totales;93.407
Total Nacional;06 Cantabria;39 Cantabria;39076 Santillana del Mar;Viviendas totales;2.182
Total Nacional;06 Cantabria;39 Cantabria;39078 Santiurde de Toranzo;Viviendas totales;1.172
Total Nacional;06 Cantabria;39 Cantabria;39079 Santoña;Viviendas totales;7.821
Total Nacional;06 Cantabria;39 Cantabria;39080 San Vicente de la Barquera;Viviendas totales;4.199
Total Nacional;06 Cantabria;39 Cantabria;39082 Selaya;Viviendas totales;1.276
Total Nacional;06 Cantabria;39 Cantabria;39083 Soba;Viviendas totales;1.057
Total Nacional;06 Cantabria;39 Cantabria;39084 Solórzano;Viviendas totales;768
Total Nacional;06 Cantabria;39 Cantabria;39085 Suances;Viviendas totales;7.127
Total Nacional;06 Cantabria;39 Cantabria;39087 Torrelavega;Viviendas totales;26.596
Total Nacional;06 Cantabria;39 Cantabria;39091 Valdáliga;Viviendas totales;1.746
Total Nacional;06 Cantabria;39 Cantabria;39095 Val de San Vicente;Viviendas totales;3.430
Total Nacional;06 Cantabria;39 Cantabria;39098 Villacarriedo;Viviendas totales;1.161
Total Nacional;06 Cantabria;39 Cantabria;39099 Villaescusa;Viviendas totales;1.838
Total Nacional;06 Cantabria;39 Cantabria;39100 Villafufre;Viviendas totales;738
Total Nacional;06 Cantabria;39 Cantabria;39102 Voto;Viviendas totales;2.754
Total Nacional;06 Cantabria;39 Cantabria;39999 Resto de Cantabria;Viviendas totales;20.591
Total Nacional;07 Castilla y León;05 Ávila;;Viviendas totales;171.947
Total Nacional;07 Castilla y León;05 Ávila;05002 Adrada, La;Viviendas totales;4.578
Total Nacional;07 Castilla y León;05 Ávila;05014 Arenas de San Pedro;Viviendas totales;6.682
Total Nacional;07 Castilla y León;05 Ávila;05016 Arévalo;Viviendas totales;4.994
Total Nacional;07 Castilla y León;05 Ávila;05019 Ávila;Viviendas totales;34.843
Total Nacional;07 Castilla y León;05 Ávila;05021 Barco de Ávila, El;Viviendas totales;2.506
Total Nacional;07 Castilla y León;05 Ávila;05022 Barraco, El;Viviendas totales;2.381
Total Nacional;07 Castilla y León;05 Ávila;05041 Burgohondo;Viviendas totales;1.914
Total Nacional;07 Castilla y León;05 Ávila;05047 Candeleda;Viviendas totales;5.741
Total Nacional;07 Castilla y León;05 Ávila;05054 Casavieja;Viviendas totales;2.287
Total Nacional;07 Castilla y León;05 Ávila;05057 Cebreros;Viviendas totales;3.156
Total Nacional;07 Castilla y León;05 Ávila;05102 Hoyo de Pinares, El;Viviendas totales;2.482
Total Nacional;07 Castilla y León;05 Ávila;05114 Madrigal de las Altas Torres;Viviendas totales;1.058
Total Nacional;07 Castilla y León;05 Ávila;05163 Navaluenga;Viviendas totales;4.279
Total Nacional;07 Castilla y León;05 Ávila;05168 Navas del Marqués, Las;Viviendas totales;5.071
Total Nacional;07 Castilla y León;05 Ávila;05186 Piedrahíta;Viviendas totales;2.097
Total Nacional;07 Castilla y León;05 Ávila;05187 Piedralaves;Viviendas totales;2.808
Total Nacional;07 Castilla y León;05 Ávila;05240 Sotillo de la Adrada;Viviendas totales;4.655
Total Nacional;07 Castilla y León;05 Ávila;05241 Tiemblo, El;Viviendas totales;5.109
Total Nacional;07 Castilla y León;05 Ávila;05999 Resto de Ávila;Viviendas totales;75.306
Total Nacional;07 Castilla y León;09 Burgos;;Viviendas totales;275.639
Total Nacional;07 Castilla y León;09 Burgos;09018 Aranda de Duero;Viviendas totales;19.708
Total Nacional;07 Castilla y León;09 Burgos;09023 Arcos;Viviendas totales;978
Total Nacional;07 Castilla y León;09 Burgos;09048 Belorado;Viviendas totales;2.080
Total Nacional;07 Castilla y León;09 Burgos;09056 Briviesca;Viviendas totales;5.497
Total Nacional;07 Castilla y León;09 Burgos;09059 Burgos;Viviendas totales;93.766
Total Nacional;07 Castilla y León;09 Burgos;09073 Cardeñadijo;Viviendas totales;873
Total Nacional;07 Castilla y León;09 Burgos;09074 Cardeñajimeno;Viviendas totales;865
Total Nacional;07 Castilla y León;09 Burgos;09109 Condado de Treviño;Viviendas totales;2.437
Total Nacional;07 Castilla y León;09 Burgos;09124 Espinosa de los Monteros;Viviendas totales;2.481
Total Nacional;07 Castilla y León;09 Burgos;09177 Ibeas de Juarros;Viviendas totales;1.282
Total Nacional;07 Castilla y León;09 Burgos;09194 Lerma;Viviendas totales;2.665
Total Nacional;07 Castilla y León;09 Burgos;09209 Medina de Pomar;Viviendas totales;9.076
Total Nacional;07 Castilla y León;09 Burgos;09211 Melgar de Fernamental;Viviendas totales;1.324
Total Nacional;07 Castilla y León;09 Burgos;09219 Miranda de Ebro;Viviendas totales;21.007
Total Nacional;07 Castilla y León;09 Burgos;09238 Oña;Viviendas totales;1.460
Total Nacional;07 Castilla y León;09 Burgos;09274 Pradoluengo;Viviendas totales;1.254
Total Nacional;07 Castilla y León;09 Burgos;09289 Quintanar de la Sierra;Viviendas totales;1.550
Total Nacional;07 Castilla y León;09 Burgos;09321 Roa;Viviendas totales;1.628
Total Nacional;07 Castilla y León;09 Burgos;09330 Salas de los Infantes;Viviendas totales;1.777
Total Nacional;07 Castilla y León;09 Burgos;09410 Valle de Mena;Viviendas totales;4.020
Total Nacional;07 Castilla y León;09 Burgos;09427 Villadiego;Viviendas totales;1.814
Total Nacional;07 Castilla y León;09 Burgos;09434 Villagonzalo Pedernales;Viviendas totales;807
Total Nacional;07 Castilla y León;09 Burgos;09439 Villalbilla de Burgos;Viviendas totales;803
Total Nacional;07 Castilla y León;09 Burgos;09903 Villarcayo de Merindad de Castilla la Vieja;Viviendas totales;5.998
Total Nacional;07 Castilla y León;09 Burgos;09906 Merindad de Río Ubierna;Viviendas totales;1.229
Total Nacional;07 Castilla y León;09 Burgos;09907 Alfoz de Quintanadueñas;Viviendas totales;1.088
Total Nacional;07 Castilla y León;09 Burgos;09999 Resto de Burgos;Viviendas totales;88.172
Total Nacional;07 Castilla y León;24 León;;Viviendas totales;354.725
