CUSEC,CUMUN,CSEC,CDIS,CMUN,CPRO,CCA,CUDIS,CLAU2,NPRO,NCA,CNUT0,CNUT1,CNUT2,CNUT3,NMUN,airbnb_listings,airbnb_entire_homes,airbnb_price_median,airbnb_accommodates_total,airbnb_revenue_total,airbnb_hosts_unicos,airbnb_con_licencia,isla,fuente,granularidad,hut_registros,hut_plazas,hut_habitaciones,viviendas_vacias_pct_ccaa,viviendas_uso_esporadico_pct_ccaa,viviendas_turisticas_pct_ccaa_2025M05,plazas_turisticas
0701601001,07016,001,01,016,07,04,0701601,07016,"Balears, Illes",Illes Balears,ES,5,3,2,Consell,6,6,687.2,43,124417,4,6,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,43
0701601002,07016,002,01,016,07,04,0701601,07016,"Balears, Illes",Illes Balears,ES,5,3,2,Consell,8,8,496.43,60,106720,7,8,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,60
0701601003,07016,003,01,016,07,04,0701601,07016,"Balears, Illes",Illes Balears,ES,5,3,2,Consell,2,2,384.5,16,25377,2,2,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,16
0701701001,07017,001,01,017,07,04,0701701,07017,"Balears, Illes",Illes Balears,ES,5,3,2,Costitx,60,58,347.0,323,780995,28,60,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,323
0701801001,07018,001,01,018,07,04,0701801,07018,"Balears, Illes",Illes Balears,ES,5,3,2,Deià,77,77,628.12,441,3006862,49,76,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,441
0701901001,07019,001,01,019,07,04,0701901,07019,"Balears, Illes",Illes Balears,ES,5,3,2,Escorca,28,18,244.0,128,275549,18,28,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,128
0702001001,07020,001,01,020,07,04,0702001,07020,"Balears, Illes",Illes Balears,ES,5,3,2,Esporles,16,14,659.835,103,173414,14,16,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,103
0702001002,07020,002,01,020,07,04,0702001,07020,"Balears, Illes",Illes Balears,ES,5,3,2,Esporles,7,7,673.075,52,102614,7,7,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,52
0702001003,07020,003,01,020,07,04,0702001,07020,"Balears, Illes",Illes Balears,ES,5,3,2,Esporles,32,19,300.25,184,582264,18,32,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,184
0702101001,07021,001,01,021,07,04,0702101,07021,"Balears, Illes",Illes Balears,ES,5,3,2,Estellencs,11,11,209.2,57,278521,11,11,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,57
0702201001,07022,001,01,022,07,04,0702201,07022,"Balears, Illes",Illes Balears,ES,5,3,2,Felanitx,11,11,480.0,79,115026,8,11,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,79
0702201002,07022,002,01,022,07,04,0702201,07022,"Balears, Illes",Illes Balears,ES,5,3,2,Felanitx,72,69,554.43,529,524456,49,72,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,529
0702202001,07022,001,02,022,07,04,0702202,07022,"Balears, Illes",Illes Balears,ES,5,3,2,Felanitx,4,4,307.0,14,40726,3,4,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,14
0702202002,07022,002,02,022,07,04,0702202,07022,"Balears, Illes",Illes Balears,ES,5,3,2,Felanitx,5,5,240.19,24,53836,5,5,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,24
0702202003,07022,003,02,022,07,04,0702202,07022,"Balears, Illes",Illes Balears,ES,5,3,2,Felanitx,32,32,547.0,237,463856,27,32,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,237
0702203001,07022,001,03,022,07,04,0702203,07022,"Balears, Illes",Illes Balears,ES,5,3,2,Felanitx,34,31,349.125,203,241769,25,34,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,203
0702203002,07022,002,03,022,07,04,0702203,07022,"Balears, Illes",Illes Balears,ES,5,3,2,Felanitx,42,38,478.03499999999997,265,532018,28,41,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,265
0702204001,07022,001,04,022,07,04,0702204,07022,"Balears, Illes",Illes Balears,ES,5,3,2,Felanitx,54,52,481.7,401,619446,35,54,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,401
0702204002,07022,002,04,022,07,04,0702204,07022,"Balears, Illes",Illes Balears,ES,5,3,2,Felanitx,250,244,455.03,1648,4050148,100,248,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,1648
0702301001,07023,001,01,023,07,04,0702301,07023,"Balears, Illes",Illes Balears,ES,5,3,3,Ferreries,7,7,286.59,51,101936,7,7,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,51
0702301002,07023,002,01,023,07,04,0702301,07023,"Balears, Illes",Illes Balears,ES,5,3,3,Ferreries,0,0,,0,0,0,0,Mallorca,shapefile INE 2025 (sin datos de turismo),seccion_censal,0,0,0,16.2,6.9,3.74,0
0702301003,07023,003,01,023,07,04,0702301,07023,"Balears, Illes",Illes Balears,ES,5,3,3,Ferreries,72,60,353.2,460,681159,26,66,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,460
0702401001,07024,001,01,024,07,04,0702401,07024,"Balears, Illes",Illes Balears,ES,5,3,1,Formentera,0,0,,0,0,0,0,Formentera,IBESTAT 2019,municipio,1375,14935,0,16.2,6.9,3.74,14935
0702401002,07024,002,01,024,07,04,0702401,07024,"Balears, Illes",Illes Balears,ES,5,3,1,Formentera,0,0,,0,0,0,0,Formentera,IBESTAT 2019,municipio,1375,14935,0,16.2,6.9,3.74,14935
0702401003,07024,003,01,024,07,04,0702401,07024,"Balears, Illes",Illes Balears,ES,5,3,1,Formentera,0,0,,0,0,0,0,Formentera,IBESTAT 2019,municipio,1375,14935,0,16.2,6.9,3.74,14935
0702402001,07024,001,02,024,07,04,0702402,07024,"Balears, Illes",Illes Balears,ES,5,3,1,Formentera,0,0,,0,0,0,0,Formentera,IBESTAT 2019,municipio,1375,14935,0,16.2,6.9,3.74,14935
0702402002,07024,002,02,024,07,04,0702402,07024,"Balears, Illes",Illes Balears,ES,5,3,1,Formentera,0,0,,0,0,0,0,Formentera,IBESTAT 2019,municipio,1375,14935,0,16.2,6.9,3.74,14935
0702403001,07024,001,03,024,07,04,0702403,07024,"Balears, Illes",Illes Balears,ES,5,3,1,Formentera,0,0,,0,0,0,0,Formentera,IBESTAT 2019,municipio,1375,14935,0,16.2,6.9,3.74,14935
0702501001,07025,001,01,025,07,04,0702501,07025,"Balears, Illes",Illes Balears,ES,5,3,2,Fornalutx,86,81,367.6,417,2152000,58,86,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,417
0702602001,07026,001,02,026,07,04,0702602,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236
0702603001,07026,001,03,026,07,04,0702603,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236
0702603002,07026,002,03,026,07,04,0702603,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236
0702603003,07026,003,03,026,07,04,0702603,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236
0702604001,07026,001,04,026,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236
0702604002,07026,002,04,026,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236
0702604003,07026,003,04,026,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236
0702604004,07026,004,04,026,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236
0702604005,07026,005,04,026,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236
0702604007,07026,007,04,026,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236
0702604008,07026,008,04,026,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236
0702604009,07026,009,04,026,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236
0702604010,07026,010,04,026,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236
0702604011,07026,011,04,026,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236
0702604012,07026,012,04,026,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236
0702604013,07026,013,04,026,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236
0702604014,07026,014,04,026,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236
0702604015,07026,015,04,026,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236
0702604016,07026,016,04,026,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236
0702604017,07026,017,04,026,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236
0702604018,07026,018,04,026,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236
0702604019,07026,019,04,026,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236
0702604020,07026,020,04,026,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236
0702604021,07026,021,04,026,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236
0702604022,07026,022,04,026,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236
0702604023,07026,023,04,026,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236
0702604024,07026,024,04,026,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236
0702701001,07027,001,01,027,07,04,0702701,07027,"Balears, Illes",Illes Balears,ES,5,3,2,Inca,0,0,,0,0,0,0,Mallorca,shapefile INE 2025 (sin datos de turismo),seccion_censal,0,0,0,16.2,6.9,3.74,0
0702701002,07027,002,01,027,07,04,0702701,07027,"Balears, Illes",Illes Balears,ES,5,3,2,Inca,4,2,125.88499999999999,11,7856,3,4,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,11
0702701003,07027,003,01,027,07,04,0702701,07027,"Balears, Illes",Illes Balears,ES,5,3,2,Inca,0,0,,0,0,0,0,Mallorca,shapefile INE 2025 (sin datos de turismo),seccion_censal,0,0,0,16.2,6.9,3.74,0
0702701004,07027,004,01,027,07,04,0702701,07027,"Balears, Illes",Illes Balears,ES,5,3,2,Inca,0,0,,0,0,0,0,Mallorca,shapefile INE 2025 (sin datos de turismo),seccion_censal,0,0,0,16.2,6.9,3.74,0
0702701005,07027,005,01,027,07,04,0702701,07027,"Balears, Illes",Illes Balears,ES,5,3,2,Inca,5,5,499.7,40,10808,5,5,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,40
0702701006,07027,006,01,027,07,04,0702701,07027,"Balears, Illes",Illes Balears,ES,5,3,2,Inca,111,109,450.14,688,1270869,67,111,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,688
0702702001,07027,001,02,027,07,04,0702702,07027,"Balears, Illes",Illes Balears,ES,5,3,2,Inca,4,4,290.33500000000004,28,29224,4,4,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,28
0702702002,07027,002,02,027,07,04,0702702,07027,"Balears, Illes",Illes Balears,ES,5,3,2,Inca,1,1,446.0,6,0,1,1,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,6
0702702003,07027,003,02,027,07,04,0702702,07027,"Balears, Illes",Illes Balears,ES,5,3,2,Inca,2,2,264.47,8,23725,1,2,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,8
0702702004,07027,004,02,027,07,04,0702702,07027,"Balears, Illes",Illes Balears,ES,5,3,2,Inca,1,1,958.0,4,28740,1,1,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,4
0702702006,07027,006,02,027,07,04,0702702,07027,"Balears, Illes",Illes Balears,ES,5,3,2,Inca,1,0,249.63,2,63656,1,1,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,2
0702702007,07027,007,02,027,07,04,0702702,07027,"Balears, Illes",Illes Balears,ES,5,3,2,Inca,61,61,478.69,443,743116,39,61,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,443
0702703001,07027,001,03,027,07,04,0702703,07027,"Balears, Illes",Illes Balears,ES,5,3,2,Inca,6,1,165.5,14,29778,2,6,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,14
0702703002,07027,002,03,027,07,04,0702703,07027,"Balears, Illes",Illes Balears,ES,5,3,2,Inca,5,5,612.86,32,34866,4,5,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,32
0702703003,07027,003,03,027,07,04,0702703,07027,"Balears, Illes",Illes Balears,ES,5,3,2,Inca,2,2,446.33500000000004,8,93516,2,2,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,8
0702703004,07027,004,03,027,07,04,0702703,07027,"Balears, Illes",Illes Balears,ES,5,3,2,Inca,0,0,,0,0,0,0,Mallorca,shapefile INE 2025 (sin datos de turismo),seccion_censal,0,0,0,16.2,6.9,3.74,0
0702703005,07027,005,03,027,07,04,0702703,07027,"Balears, Illes",Illes Balears,ES,5,3,2,Inca,22,22,613.315,140,252664,20,22,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,140
0702801001,07028,001,01,028,07,04,0702801,07028,"Balears, Illes",Illes Balears,ES,5,3,2,Lloret de Vistalegre,41,41,328.5,203,411984,28,41,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,203
0702901001,07029,001,01,029,07,04,0702901,07029,"Balears, Illes",Illes Balears,ES,5,3,2,Lloseta,6,4,220.0,24,147930,5,6,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,24
0702901002,07029,002,01,029,07,04,0702901,07029,"Balears, Illes",Illes Balears,ES,5,3,2,Lloseta,8,8,381.66499999999996,49,201954,4,8,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,49
0702902001,07029,001,02,029,07,04,0702902,07029,"Balears, Illes",Illes Balears,ES,5,3,2,Lloseta,10,8,842.4,69,141815,8,10,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,69
0702902002,07029,002,02,029,07,04,0702902,07029,"Balears, Illes",Illes Balears,ES,5,3,2,Lloseta,26,26,507.855,164,273778,21,26,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,164
0703001001,07030,001,01,030,07,04,0703001,07030,"Balears, Illes",Illes Balears,ES,5,3,2,Llubí,55,55,372.0,321,442020,36,55,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,321
0703002001,07030,001,02,030,07,04,0703002,07030,"Balears, Illes",Illes Balears,ES,5,3,2,Llubí,43,37,280.5,248,494310,29,43,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,248
0703101001,07031,001,01,031,07,04,0703101,07031,"Balears, Illes",Illes Balears,ES,5,3,2,Llucmajor,8,8,335.67,51,72601,7,8,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,51
0703101002,07031,002,01,031,07,04,0703101,07031,"Balears, Illes",Illes Balears,ES,5,3,2,Llucmajor,0,0,,0,0,0,0,Mallorca,shapefile INE 2025 (sin datos de turismo),seccion_censal,0,0,0,16.2,6.9,3.74,0
0703101003,07031,003,01,031,07,04,0703101,07031,"Balears, Illes",Illes Balears,ES,5,3,2,Llucmajor,73,65,295.0,383,914084,45,73,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,383
0703102001,07031,001,02,031,07,04,0703102,07031,"Balears, Illes",Illes Balears,ES,5,3,2,Llucmajor,2,2,481.66999999999996,14,3632,2,2,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,14
0703102002,07031,002,02,031,07,04,0703102,07031,"Balears, Illes",Illes Balears,ES,5,3,2,Llucmajor,0,0,,0,0,0,0,Mallorca,shapefile INE 2025 (sin datos de turismo),seccion_censal,0,0,0,16.2,6.9,3.74,0
0703103001,07031,001,03,031,07,04,0703103,07031,"Balears, Illes",Illes Balears,ES,5,3,2,Llucmajor,0,0,,0,0,0,0,Mallorca,shapefile INE 2025 (sin datos de turismo),seccion_censal,0,0,0,16.2,6.9,3.74,0
0703103002,07031,002,03,031,07,04,0703103,07031,"Balears, Illes",Illes Balears,ES,5,3,2,Llucmajor,0,0,,0,0,0,0,Mallorca,shapefile INE 2025 (sin datos de turismo),seccion_censal,0,0,0,16.2,6.9,3.74,0
0703103003,07031,003,03,031,07,04,0703103,07031,"Balears, Illes",Illes Balears,ES,5,3,2,Llucmajor,67,55,299.0,362,684201,42,64,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,362
0703104001,07031,001,04,031,07,04,0703104,07031,"Balears, Illes",Illes Balears,ES,5,3,2,Llucmajor,3,3,266.14,18,80509,2,3,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,18
0703104002,07031,002,04,031,07,04,0703104,07031,"Balears, Illes",Illes Balears,ES,5,3,2,Llucmajor,62,55,490.0,428,1038497,43,62,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,428
0703104003,07031,003,04,031,07,04,0703104,07031,"Balears, Illes",Illes Balears,ES,5,3,2,Llucmajor,3,3,322.5,14,51534,3,3,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,14
0703104004,07031,004,04,031,07,04,0703104,07031,"Balears, Illes",Illes Balears,ES,5,3,2,Llucmajor,3,3,316.0,13,83158,3,3,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,13
0703104005,07031,005,04,031,07,04,0703104,07031,"Balears, Illes",Illes Balears,ES,5,3,2,Llucmajor,6,0,68.35,12,78414,2,5,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,12
0703104006,07031,006,04,031,07,04,0703104,07031,"Balears, Illes",Illes Balears,ES,5,3,2,Llucmajor,4,3,222.1,16,52158,4,4,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,16
0703104007,07031,007,04,031,07,04,0703104,07031,"Balears, Illes",Illes Balears,ES,5,3,2,Llucmajor,24,24,549.0,180,651403,21,23,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,180
0703104009,07031,009,04,031,07,04,0703104,07031,"Balears, Illes",Illes Balears,ES,5,3,2,Llucmajor,19,18,920.7,168,473422,13,19,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,168
0703104010,07031,010,04,031,07,04,0703104,07031,"Balears, Illes",Illes Balears,ES,5,3,2,Llucmajor,84,84,441.53499999999997,479,1881850,64,84,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,479
0703104011,07031,011,04,031,07,04,0703104,07031,"Balears, Illes",Illes Balears,ES,5,3,2,Llucmajor,33,33,848.75,266,544655,31,33,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,266
0703104012,07031,012,04,031,07,04,0703104,07031,"Balears, Illes",Illes Balears,ES,5,3,2,Llucmajor,19,19,546.8,135,572828,19,19,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,135
0703104013,07031,013,04,031,07,04,0703104,07031,"Balears, Illes",Illes Balears,ES,5,3,2,Llucmajor,0,0,,0,0,0,0,Mallorca,shapefile INE 2025 (sin datos de turismo),seccion_censal,0,0,0,16.2,6.9,3.74,0
0703104014,07031,014,04,031,07,04,0703104,07031,"Balears, Illes",Illes Balears,ES,5,3,2,Llucmajor,22,22,529.25,158,357832,18,22,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,158
0703105001,07031,001,05,031,07,04,0703105,07031,"Balears, Illes",Illes Balears,ES,5,3,2,Llucmajor,2,1,67.335,6,8382,2,2,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,6
0703201001,07032,001,01,032,07,04,0703201,07032,"Balears, Illes",Illes Balears,ES,5,3,3,Maó,12,9,289.0,29,33068,3,12,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,29
0703201002,07032,002,01,032,07,04,0703201,07032,"Balears, Illes",Illes Balears,ES,5,3,3,Maó,6,4,294.83500000000004,23,17472,5,6,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,23
0703202001,07032,001,02,032,07,04,0703202,07032,"Balears, Illes",Illes Balears,ES,5,3,3,Maó,2,2,401.855,10,14926,2,2,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,10
0703202002,07032,002,02,032,07,04,0703202,07032,"Balears, Illes",Illes Balears,ES,5,3,3,Maó,1,1,1345.0,12,48420,1,1,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,12
0703202003,07032,003,02,032,07,04,0703202,07032,"Balears, Illes",Illes Balears,ES,5,3,3,Maó,0,0,,0,0,0,0,Mallorca,shapefile INE 2025 (sin datos de turismo),seccion_censal,0,0,0,16.2,6.9,3.74,0
0703202004,07032,004,02,032,07,04,0703202,07032,"Balears, Illes",Illes Balears,ES,5,3,3,Maó,1,1,628.0,8,87920,1,0,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,8
0703203001,07032,001,03,032,07,04,0703203,07032,"Balears, Illes",Illes Balears,ES,5,3,3,Maó,5,1,295.3,16,39347,2,5,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,16
0703203002,07032,002,03,032,07,04,0703203,07032,"Balears, Illes",Illes Balears,ES,5,3,3,Maó,1,1,155.0,2,14880,1,1,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,2
0703203003,07032,003,03,032,07,04,0703203,07032,"Balears, Illes",Illes Balears,ES,5,3,3,Maó,53,48,558.86,354,826628,38,50,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,354
0703203004,07032,004,03,032,07,04,0703203,07032,"Balears, Illes",Illes Balears,ES,5,3,3,Maó,0,0,,0,0,0,0,Mallorca,shapefile INE 2025 (sin datos de turismo),seccion_censal,0,0,0,16.2,6.9,3.74,0
0703203005,07032,005,03,032,07,04,0703203,07032,"Balears, Illes",Illes Balears,ES,5,3,3,Maó,0,0,,0,0,0,0,Mallorca,shapefile INE 2025 (sin datos de turismo),seccion_censal,0,0,0,16.2,6.9,3.74,0
0703203006,07032,006,03,032,07,04,0703203,07032,"Balears, Illes",Illes Balears,ES,5,3,3,Maó,4,4,415.145,30,23420,4,4,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,30
0703203007,07032,007,03,032,07,04,0703203,07032,"Balears, Illes",Illes Balears,ES,5,3,3,Maó,0,0,,0,0,0,0,Mallorca,shapefile INE 2025 (sin datos de turismo),seccion_censal,0,0,0,16.2,6.9,3.74,0
