CUSEC,CUMUN,CSEC,CPRO,CCA,CUDIS,CLAU2,NPRO,NCA,CNUT0,CNUT1,CNUT2,CNUT3,NMUN,airbnb_listings,airbnb_entire_homes,airbnb_price_median,airbnb_accommodates_total,airbnb_revenue_total,airbnb_hosts_unicos,airbnb_con_licencia,viviendas_totales,consumo_p10_kwh,consumo_p25_kwh,consumo_p50_kwh,consumo_p75_kwh,consumo_p90_kwh,isla,fuente,granularidad,hut_registros,hut_plazas,hut_habitaciones,viviendas_vacias_pct_ccaa,viviendas_uso_esporadico_pct_ccaa,viviendas_turisticas_pct_ccaa_2025M05,plazas_turisticas,airbnb_listings_por_1000_viviendas
0701501001,07015,001,07,04,0701501,07015,"Balears, Illes",Illes Balears,ES,5,3,3,Ciutadella de Menorca,15,10,366.33,68,281347,12,14,17887,559.0,1.202,2.525,4.059,6.005,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,68,0.8385978643707721
0701501002,07015,002,07,04,0701501,07015,"Balears, Illes",Illes Balears,ES,5,3,3,Ciutadella de Menorca,12,7,233.66500000000002,58,119710,6,11,17887,559.0,1.202,2.525,4.059,6.005,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,58,0.6708782914966176
0701501003,07015,003,07,04,0701501,07015,"Balears, Illes",Illes Balears,ES,5,3,3,Ciutadella de Menorca,4,0,250.0,9,0,1,4,17887,559.0,1.202,2.525,4.059,6.005,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,9,0.22362609716553922
0701501004,07015,004,07,04,0701501,07015,"Balears, Illes",Illes Balears,ES,5,3,3,Ciutadella de Menorca,95,94,349.14,550,1191637,60,89,17887,559.0,1.202,2.525,4.059,6.005,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,550,5.311119807681557
0701501005,07015,005,07,04,0701501,07015,"Balears, Illes",Illes Balears,ES,5,3,3,Ciutadella de Menorca,427,411,286.0,2111,5798278,165,412,17887,559.0,1.202,2.525,4.059,6.005,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,2111,23.87208587242131
0701502001,07015,001,07,04,0701502,07015,"Balears, Illes",Illes Balears,ES,5,3,3,Ciutadella de Menorca,3,1,231.0,12,39776,3,3,17887,823.0,1.729,2.987,4.292,5.772,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,12,0.1677195728741544
0701502003,07015,003,07,04,0701502,07015,"Balears, Illes",Illes Balears,ES,5,3,3,Ciutadella de Menorca,2,2,283.855,12,34731,2,2,17887,823.0,1.729,2.987,4.292,5.772,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,12,0.11181304858276961
0701502004,07015,004,07,04,0701502,07015,"Balears, Illes",Illes Balears,ES,5,3,3,Ciutadella de Menorca,0,0,,0,0,0,0,17887,823.0,1.729,2.987,4.292,5.772,Mallorca,shapefile INE 2025 (sin datos de turismo),seccion_censal,0,0,0,16.2,6.9,3.74,0,0.0
0701503001,07015,001,07,04,0701503,07015,"Balears, Illes",Illes Balears,ES,5,3,3,Ciutadella de Menorca,20,8,209.25,82,337595,11,20,17887,863.0,1.686,2.976,4.399,5.957,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,82,1.1181304858276961
0701503002,07015,002,07,04,0701503,07015,"Balears, Illes",Illes Balears,ES,5,3,3,Ciutadella de Menorca,11,8,544.755,64,163233,9,11,17887,863.0,1.686,2.976,4.399,5.957,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,64,0.6149717672052329
0701503003,07015,003,07,04,0701503,07015,"Balears, Illes",Illes Balears,ES,5,3,3,Ciutadella de Menorca,0,0,,0,0,0,0,17887,863.0,1.686,2.976,4.399,5.957,Mallorca,shapefile INE 2025 (sin datos de turismo),seccion_censal,0,0,0,16.2,6.9,3.74,0,0.0
0701504001,07015,001,07,04,0701504,07015,"Balears, Illes",Illes Balears,ES,5,3,3,Ciutadella de Menorca,8,7,447.33,40,138140,7,7,17887,539.0,1.143,2.445,4.204,6.227,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,40,0.44725219433107843
0701504002,07015,002,07,04,0701504,07015,"Balears, Illes",Illes Balears,ES,5,3,3,Ciutadella de Menorca,147,147,307.0,751,2087887,97,141,17887,539.0,1.143,2.445,4.204,6.227,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,751,8.218259070833566
0701504003,07015,003,07,04,0701504,07015,"Balears, Illes",Illes Balears,ES,5,3,3,Ciutadella de Menorca,6,3,237.69,21,59313,4,6,17887,539.0,1.143,2.445,4.204,6.227,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,21,0.3354391457483088
0701504004,07015,004,07,04,0701504,07015,"Balears, Illes",Illes Balears,ES,5,3,3,Ciutadella de Menorca,565,563,292.87,2726,6412009,259,536,17887,539.0,1.143,2.445,4.204,6.227,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,2726,31.58718622463241
0701601001,07016,001,07,04,0701601,07016,"Balears, Illes",Illes Balears,ES,5,3,2,Consell,6,6,687.2,43,124417,4,6,2117,991.0,2.122,3.426,5.043,6.856,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,43,2.834199338686821
0701601002,07016,002,07,04,0701601,07016,"Balears, Illes",Illes Balears,ES,5,3,2,Consell,8,8,496.43,60,106720,7,8,2117,991.0,2.122,3.426,5.043,6.856,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,60,3.778932451582428
0701601003,07016,003,07,04,0701601,07016,"Balears, Illes",Illes Balears,ES,5,3,2,Consell,2,2,384.5,16,25377,2,2,2117,991.0,2.122,3.426,5.043,6.856,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,16,0.944733112895607
0701701001,07017,001,07,04,0701701,07017,"Balears, Illes",Illes Balears,ES,5,3,2,Costitx,60,58,347.0,323,780995,28,60,1306,925.0,1.757,3.132,5.002,7.282,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,323,45.94180704441042
0701801001,07018,001,07,04,0701801,07018,"Balears, Illes",Illes Balears,ES,5,3,2,Deià,77,77,628.12,441,3006862,49,76,0,0.0,0.0,0.0,0.0,0.0,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,441,0.0
0701901001,07019,001,07,04,0701901,07019,"Balears, Illes",Illes Balears,ES,5,3,2,Escorca,28,18,244.0,128,275549,18,28,0,0.0,0.0,0.0,0.0,0.0,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,128,0.0
0702001001,07020,001,07,04,0702001,07020,"Balears, Illes",Illes Balears,ES,5,3,2,Esporles,16,14,659.835,103,173414,14,16,2553,1.128,2.249,3.708,5.597,8.12,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,103,6.26713670191931
0702001002,07020,002,07,04,0702001,07020,"Balears, Illes",Illes Balears,ES,5,3,2,Esporles,7,7,673.075,52,102614,7,7,2553,1.128,2.249,3.708,5.597,8.12,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,52,2.7418723070896984
0702001003,07020,003,07,04,0702001,07020,"Balears, Illes",Illes Balears,ES,5,3,2,Esporles,32,19,300.25,184,582264,18,32,2553,1.128,2.249,3.708,5.597,8.12,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,184,12.53427340383862
0702101001,07021,001,07,04,0702101,07021,"Balears, Illes",Illes Balears,ES,5,3,2,Estellencs,11,11,209.2,57,278521,11,11,0,0.0,0.0,0.0,0.0,0.0,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,57,0.0
0702201001,07022,001,07,04,0702201,07022,"Balears, Illes",Illes Balears,ES,5,3,2,Felanitx,11,11,480.0,79,115026,8,11,13611,1.053,1.972,3.222,4.706,6.549,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,79,0.8081698626111233
0702201002,07022,002,07,04,0702201,07022,"Balears, Illes",Illes Balears,ES,5,3,2,Felanitx,72,69,554.43,529,524456,49,72,13611,1.053,1.972,3.222,4.706,6.549,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,529,5.289839100727352
0702202001,07022,001,07,04,0702202,07022,"Balears, Illes",Illes Balears,ES,5,3,2,Felanitx,4,4,307.0,14,40726,3,4,13611,794.0,1.637,2.907,4.462,6.432,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,14,0.29387995004040846
0702202002,07022,002,07,04,0702202,07022,"Balears, Illes",Illes Balears,ES,5,3,2,Felanitx,5,5,240.19,24,53836,5,5,13611,794.0,1.637,2.907,4.462,6.432,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,24,0.36734993755051065
0702202003,07022,003,07,04,0702202,07022,"Balears, Illes",Illes Balears,ES,5,3,2,Felanitx,32,32,547.0,237,463856,27,32,13611,794.0,1.637,2.907,4.462,6.432,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,237,2.3510396003232676
0702203001,07022,001,07,04,0702203,07022,"Balears, Illes",Illes Balears,ES,5,3,2,Felanitx,34,31,349.125,203,241769,25,34,13611,1.137,2.035,3.283,4.612,6.524,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,203,2.497979575343472
0702203002,07022,002,07,04,0702203,07022,"Balears, Illes",Illes Balears,ES,5,3,2,Felanitx,42,38,478.03499999999997,265,532018,28,41,13611,1.137,2.035,3.283,4.612,6.524,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,265,3.085739475424289
0702204001,07022,001,07,04,0702204,07022,"Balears, Illes",Illes Balears,ES,5,3,2,Felanitx,54,52,481.7,401,619446,35,54,13611,593.0,1.184,2.634,4.523,6.902,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,401,3.967379325545515
0702204002,07022,002,07,04,0702204,07022,"Balears, Illes",Illes Balears,ES,5,3,2,Felanitx,250,244,455.03,1648,4050148,100,248,13611,593.0,1.184,2.634,4.523,6.902,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,1648,18.367496877525532
0702301001,07023,001,07,04,0702301,07023,"Balears, Illes",Illes Balears,ES,5,3,3,Ferreries,7,7,286.59,51,101936,7,7,2369,913.0,1.896,3.21,4.714,6.465,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,51,2.95483326298016
0702301002,07023,002,07,04,0702301,07023,"Balears, Illes",Illes Balears,ES,5,3,3,Ferreries,0,0,,0,0,0,0,2369,913.0,1.896,3.21,4.714,6.465,Mallorca,shapefile INE 2025 (sin datos de turismo),seccion_censal,0,0,0,16.2,6.9,3.74,0,0.0
0702301003,07023,003,07,04,0702301,07023,"Balears, Illes",Illes Balears,ES,5,3,3,Ferreries,72,60,353.2,460,681159,26,66,2369,913.0,1.896,3.21,4.714,6.465,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,460,30.39257070493879
0702401001,07024,001,07,04,0702401,07024,"Balears, Illes",Illes Balears,ES,5,3,1,Formentera,0,0,,0,0,0,0,6969,783.0,1.595,3.464,6.073,9.376,Formentera,IBESTAT 2019,municipio,1375,14935,0,16.2,6.9,3.74,14935,0.0
0702401002,07024,002,07,04,0702401,07024,"Balears, Illes",Illes Balears,ES,5,3,1,Formentera,0,0,,0,0,0,0,6969,783.0,1.595,3.464,6.073,9.376,Formentera,IBESTAT 2019,municipio,1375,14935,0,16.2,6.9,3.74,14935,0.0
0702401003,07024,003,07,04,0702401,07024,"Balears, Illes",Illes Balears,ES,5,3,1,Formentera,0,0,,0,0,0,0,6969,783.0,1.595,3.464,6.073,9.376,Formentera,IBESTAT 2019,municipio,1375,14935,0,16.2,6.9,3.74,14935,0.0
0702402001,07024,001,07,04,0702402,07024,"Balears, Illes",Illes Balears,ES,5,3,1,Formentera,0,0,,0,0,0,0,6969,475.0,871.0,2.185,4.749,8.603,Formentera,IBESTAT 2019,municipio,1375,14935,0,16.2,6.9,3.74,14935,0.0
0702402002,07024,002,07,04,0702402,07024,"Balears, Illes",Illes Balears,ES,5,3,1,Formentera,0,0,,0,0,0,0,6969,475.0,871.0,2.185,4.749,8.603,Formentera,IBESTAT 2019,municipio,1375,14935,0,16.2,6.9,3.74,14935,0.0
0702403001,07024,001,07,04,0702403,07024,"Balears, Illes",Illes Balears,ES,5,3,1,Formentera,0,0,,0,0,0,0,6969,574.0,1.112,3.038,5.967,10.021,Formentera,IBESTAT 2019,municipio,1375,14935,0,16.2,6.9,3.74,14935,0.0
0702501001,07025,001,07,04,0702501,07025,"Balears, Illes",Illes Balears,ES,5,3,2,Fornalutx,86,81,367.6,417,2152000,58,86,0,0.0,0.0,0.0,0.0,0.0,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,417,0.0
0702602001,07026,001,07,04,0702602,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,23938,640.0,1.202,2.085,3.447,5.359,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236,0.0
0702603001,07026,001,07,04,0702603,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,23938,950.0,1.785,2.93,4.426,6.3,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236,0.0
0702603002,07026,002,07,04,0702603,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,23938,950.0,1.785,2.93,4.426,6.3,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236,0.0
0702603003,07026,003,07,04,0702603,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,23938,950.0,1.785,2.93,4.426,6.3,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236,0.0
0702604001,07026,001,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,23938,1.118,1.863,2.941,4.336,5.984,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236,0.0
0702604002,07026,002,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,23938,1.118,1.863,2.941,4.336,5.984,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236,0.0
0702604003,07026,003,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,23938,1.118,1.863,2.941,4.336,5.984,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236,0.0
0702604004,07026,004,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,23938,1.118,1.863,2.941,4.336,5.984,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236,0.0
0702604005,07026,005,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,23938,1.118,1.863,2.941,4.336,5.984,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236,0.0
0702604007,07026,007,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,23938,1.118,1.863,2.941,4.336,5.984,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236,0.0
0702604008,07026,008,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,23938,1.118,1.863,2.941,4.336,5.984,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236,0.0
0702604009,07026,009,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,23938,1.118,1.863,2.941,4.336,5.984,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236,0.0
0702604010,07026,010,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,23938,1.118,1.863,2.941,4.336,5.984,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236,0.0
0702604011,07026,011,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,23938,1.118,1.863,2.941,4.336,5.984,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236,0.0
0702604012,07026,012,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,23938,1.118,1.863,2.941,4.336,5.984,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236,0.0
0702604013,07026,013,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,23938,1.118,1.863,2.941,4.336,5.984,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236,0.0
0702604014,07026,014,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,23938,1.118,1.863,2.941,4.336,5.984,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236,0.0
0702604015,07026,015,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,23938,1.118,1.863,2.941,4.336,5.984,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236,0.0
0702604016,07026,016,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,23938,1.118,1.863,2.941,4.336,5.984,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236,0.0
0702604017,07026,017,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,23938,1.118,1.863,2.941,4.336,5.984,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236,0.0
0702604018,07026,018,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,23938,1.118,1.863,2.941,4.336,5.984,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236,0.0
0702604019,07026,019,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,23938,1.118,1.863,2.941,4.336,5.984,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236,0.0
0702604020,07026,020,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,23938,1.118,1.863,2.941,4.336,5.984,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236,0.0
0702604021,07026,021,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,23938,1.118,1.863,2.941,4.336,5.984,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236,0.0
0702604022,07026,022,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,23938,1.118,1.863,2.941,4.336,5.984,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236,0.0
0702604023,07026,023,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,23938,1.118,1.863,2.941,4.336,5.984,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236,0.0
0702604024,07026,024,07,04,0702604,07026,"Balears, Illes",Illes Balears,ES,5,3,1,Eivissa,0,0,,0,0,0,0,23938,1.118,1.863,2.941,4.336,5.984,Eivissa,HUT Consell d'Eivissa 2026,municipio,41,236,22,16.2,6.9,3.74,236,0.0
0702701001,07027,001,07,04,0702701,07027,"Balears, Illes",Illes Balears,ES,5,3,2,Inca,0,0,,0,0,0,0,15863,1.105,2.021,3.209,4.648,6.246,Mallorca,shapefile INE 2025 (sin datos de turismo),seccion_censal,0,0,0,16.2,6.9,3.74,0,0.0
0702701002,07027,002,07,04,0702701,07027,"Balears, Illes",Illes Balears,ES,5,3,2,Inca,4,2,125.88499999999999,11,7856,3,4,15863,1.105,2.021,3.209,4.648,6.246,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,11,0.25215911239992433
0702701003,07027,003,07,04,0702701,07027,"Balears, Illes",Illes Balears,ES,5,3,2,Inca,0,0,,0,0,0,0,15863,1.105,2.021,3.209,4.648,6.246,Mallorca,shapefile INE 2025 (sin datos de turismo),seccion_censal,0,0,0,16.2,6.9,3.74,0,0.0
0702701004,07027,004,07,04,0702701,07027,"Balears, Illes",Illes Balears,ES,5,3,2,Inca,0,0,,0,0,0,0,15863,1.105,2.021,3.209,4.648,6.246,Mallorca,shapefile INE 2025 (sin datos de turismo),seccion_censal,0,0,0,16.2,6.9,3.74,0,0.0
0702701005,07027,005,07,04,0702701,07027,"Balears, Illes",Illes Balears,ES,5,3,2,Inca,5,5,499.7,40,10808,5,5,15863,1.105,2.021,3.209,4.648,6.246,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,40,0.31519889049990546
0702701006,07027,006,07,04,0702701,07027,"Balears, Illes",Illes Balears,ES,5,3,2,Inca,111,109,450.14,688,1270869,67,111,15863,1.105,2.021,3.209,4.648,6.246,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,688,6.997415369097901
0702702001,07027,001,07,04,0702702,07027,"Balears, Illes",Illes Balears,ES,5,3,2,Inca,4,4,290.33500000000004,28,29224,4,4,15863,1.231,2.162,3.343,4.732,6.294,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,28,0.25215911239992433
0702702002,07027,002,07,04,0702702,07027,"Balears, Illes",Illes Balears,ES,5,3,2,Inca,1,1,446.0,6,0,1,1,15863,1.231,2.162,3.343,4.732,6.294,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,6,0.06303977809998108
0702702003,07027,003,07,04,0702702,07027,"Balears, Illes",Illes Balears,ES,5,3,2,Inca,2,2,264.47,8,23725,1,2,15863,1.231,2.162,3.343,4.732,6.294,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,8,0.12607955619996217
0702702004,07027,004,07,04,0702702,07027,"Balears, Illes",Illes Balears,ES,5,3,2,Inca,1,1,958.0,4,28740,1,1,15863,1.231,2.162,3.343,4.732,6.294,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,4,0.06303977809998108
0702702006,07027,006,07,04,0702702,07027,"Balears, Illes",Illes Balears,ES,5,3,2,Inca,1,0,249.63,2,63656,1,1,15863,1.231,2.162,3.343,4.732,6.294,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,2,0.06303977809998108
0702702007,07027,007,07,04,0702702,07027,"Balears, Illes",Illes Balears,ES,5,3,2,Inca,61,61,478.69,443,743116,39,61,15863,1.231,2.162,3.343,4.732,6.294,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,443,3.8454264640988463
0702703001,07027,001,07,04,0702703,07027,"Balears, Illes",Illes Balears,ES,5,3,2,Inca,6,1,165.5,14,29778,2,6,15863,1.185,2.104,3.342,4.755,6.273,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,14,0.37823866859988653
0702703002,07027,002,07,04,0702703,07027,"Balears, Illes",Illes Balears,ES,5,3,2,Inca,5,5,612.86,32,34866,4,5,15863,1.185,2.104,3.342,4.755,6.273,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,32,0.31519889049990546
0702703003,07027,003,07,04,0702703,07027,"Balears, Illes",Illes Balears,ES,5,3,2,Inca,2,2,446.33500000000004,8,93516,2,2,15863,1.185,2.104,3.342,4.755,6.273,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,8,0.12607955619996217
0702703004,07027,004,07,04,0702703,07027,"Balears, Illes",Illes Balears,ES,5,3,2,Inca,0,0,,0,0,0,0,15863,1.185,2.104,3.342,4.755,6.273,Mallorca,shapefile INE 2025 (sin datos de turismo),seccion_censal,0,0,0,16.2,6.9,3.74,0,0.0
0702703005,07027,005,07,04,0702703,07027,"Balears, Illes",Illes Balears,ES,5,3,2,Inca,22,22,613.315,140,252664,20,22,15863,1.185,2.104,3.342,4.755,6.273,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,140,1.386875118199584
0702801001,07028,001,07,04,0702801,07028,"Balears, Illes",Illes Balears,ES,5,3,2,Lloret de Vistalegre,41,41,328.5,203,411984,28,41,1093,896.0,1.919,3.305,5.159,7.138,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,203,37.51143641354071
0702901001,07029,001,07,04,0702901,07029,"Balears, Illes",Illes Balears,ES,5,3,2,Lloseta,6,4,220.0,24,147930,5,6,3035,1.158,2.018,3.216,4.823,6.333,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,24,1.9769357495881386
0702901002,07029,002,07,04,0702901,07029,"Balears, Illes",Illes Balears,ES,5,3,2,Lloseta,8,8,381.66499999999996,49,201954,4,8,3035,1.158,2.018,3.216,4.823,6.333,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,49,2.6359143327841843
0702902001,07029,001,07,04,0702902,07029,"Balears, Illes",Illes Balears,ES,5,3,2,Lloseta,10,8,842.4,69,141815,8,10,3035,1.049,2.087,3.327,4.887,6.692,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,69,3.2948929159802307
0702902002,07029,002,07,04,0702902,07029,"Balears, Illes",Illes Balears,ES,5,3,2,Lloseta,26,26,507.855,164,273778,21,26,3035,1.049,2.087,3.327,4.887,6.692,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,164,8.5667215815486
0703001001,07030,001,07,04,0703001,07030,"Balears, Illes",Illes Balears,ES,5,3,2,Llubí,55,55,372.0,321,442020,36,55,1685,812.0,1.791,3.406,5.249,7.272,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,321,32.640949554896146
